seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,4.390279664844274,4.8313107244670395,4.219185685832054,4.925817039236426,0.0,0.0,0.0,0.0
1,25000,9.818591648526489,10.225608749128877,8.567825682647527,8.411474283784628,10.0,10.0,5.0,5.0
1,50000,12.259430384077131,8.303593183122576,9.662449893914163,12.74727591779083,20.0,5.0,10.0,20.0
1,75000,13.720714595087339,14.268259733729064,10.279758280911187,13.587780336104334,20.0,20.0,15.0,20.0
1,100000,6.766647654492408,19.132287259586157,29.381521748378873,19.572966435179115,0.0,35.0,65.0,35.0
1,125000,10.177345355600119,27.6146594023332,20.67118456084281,19.70564239709638,10.0,55.00000000000001,40.0,35.0
1,150000,14.773707888461649,26.76533996332437,19.710637199133636,23.286692025139928,20.0,55.00000000000001,35.0,45.0
1,175000,14.088560520578175,21.22669201064855,24.82222109567374,28.54332654727623,20.0,40.0,50.0,60.0
1,200000,14.601991817727685,27.440608610585333,25.014322423748673,16.629406337812544,20.0,55.00000000000001,50.0,25.0
1,225000,19.667627287562937,29.47405551224947,24.791646320093424,33.36723824162036,35.0,65.0,50.0,75.0
1,250000,17.932493815384806,31.234603899903597,28.63313014432788,27.580966096557678,30.0,70.0,60.0,60.0
1,275000,15.305328178778291,30.1564377265051,25.22284563705325,30.35498765241355,25.0,65.0,50.0,65.0
1,300000,19.54849831853062,21.40576544124633,25.43128181323409,23.626812320947646,35.0,40.0,50.0,45.0
1,325000,17.609309784322978,37.78233864139766,32.63166504055262,30.5561744581908,30.0,85.0,70.0,65.0
1,350000,17.7338524479419,33.90399419516325,30.76963220946491,34.486738064698876,30.0,75.0,70.0,75.0
1,375000,18.010383413918316,33.73175713010132,32.29510849583894,32.97228616401553,30.0,75.0,70.0,70.0
1,400000,25.265886622294783,25.455396895855664,35.2913438655436,27.215006978996097,50.0,50.0,80.0,55.00000000000001
1,425000,19.158623379468917,33.91328912246972,32.17740870788693,33.93746390342712,35.0,75.0,70.0,70.0
1,450000,21.96894793417305,31.16743936538696,34.7144957523793,32.57952085323632,40.0,65.0,75.0,70.0
1,475000,19.159285975806416,34.261737699061634,34.25909167081117,38.95137971579097,35.0,75.0,80.0,90.0
1,500000,20.29675872065127,34.159768304415046,36.504348212853074,37.62586639802903,35.0,75.0,80.0,85.0
2,0,1.0822303830762394,1.1211006110417656,1.1296343659283594,1.0938827721751294,0.0,0.0,0.0,0.0
