seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,7.7068420492112635,7.859980768710375,7.355863217264414,8.136572569608688,0.0,0.0,0.0,0.0
1,25000,29.603393886762206,35.98909013387747,36.044891718775034,35.83307261341251,60.0,80.0,75.0,80.0
1,50000,33.62111381335417,38.06180218765512,34.19584803134203,36.56685735390056,70.0,80.0,70.0,75.0
1,75000,37.965438254678155,40.21307869981975,36.02184848007746,36.20837841767352,80.0,85.0,75.0,70.0
1,100000,43.4150640008098,43.38777908897028,32.04319399287924,42.26021666526795,95.0,95.0,65.0,90.0
1,125000,34.14554311640095,40.49378463998437,43.814939126186076,38.36526861153543,70.0,85.0,95.0,80.0
1,150000,43.700904220342636,43.087243063561615,41.752944245142864,43.5093380661443,95.0,95.0,90.0,95.0
1,175000,45.82679249644279,41.82742690220475,42.87026302099694,43.33034797478467,100.0,90.0,90.0,95.0
1,200000,43.66507109452505,41.53583150561899,38.58072589095682,45.57969964891672,95.0,90.0,80.0,100.0
1,225000,41.88274641456083,32.19190536858514,40.29580771112815,40.00032805181108,90.0,60.0,85.0,85.0
1,250000,41.66632723745424,43.58450216744095,42.120740443468094,44.08804415799678,90.0,95.0,90.0,95.0
1,275000,38.23264271994121,41.76656203977764,41.261617696794566,42.40092535279691,80.0,90.0,90.0,90.0
1,300000,36.135968113609124,39.19191826917231,36.356555543397555,39.48615210158751,75.0,80.0,75.0,80.0
1,325000,43.461598195735135,40.359332740493116,40.32362356120721,44.04426002753898,95.0,85.0,85.0,95.0
1,350000,39.936583119368876,40.655055328458545,40.336856350116435,45.372674158774316,85.0,85.0,85.0,100.0
1,375000,41.7748365638894,40.55180445089936,39.06024403907359,42.232372016459706,90.0,85.0,80.0,90.0
1,400000,43.05554788634181,41.54382755253464,40.76681862977566,45.88909367285669,95.0,90.0,85.0,100.0
1,425000,41.91253277608193,44.93465595319867,44.766162924282256,45.733768434077504,90.0,100.0,95.0,100.0
1,450000,42.00690181164536,36.46337324231545,39.14182338224491,42.26543594505638,90.0,75.0,80.0,90.0
1,475000,41.31039616400449,40.227127919718626,43.80159378889948,42.15221343981102,90.0,85.0,90.0,90.0
1,500000,43.93546296599088,39.541371228918436,40.783520090952514,42.28615988716483,95.0,85.0,85.0,90.0
2,0,1.7402228355873377,1.5298398289480246,1.9328014530241489,1.6456114342436194,0.0,0.0,0.0,0.0
2,25000,34.821514604997354,20.472753866855054,30.596446937206203,27.015650071157143,70.0,30.0,60.0,50.0
2,50000,32.40072754130233,25.888781767897306,36.041504017123955,31.344791809236632,65.0,40.0,75.0,60.0
2,75000,35.54156371965073,22.505688131065106,31.1814092008397,33.73333643316291,75.0,40.0,60.0,70.0
2,100000,27.991296814463567,29.95741697768681,36.349251641100274,40.16705685723573,55.00000000000001,55.00000000000001,75.0,85.0
2,125000,39.29384099966846,36.45391206368804,38.32181895141402,42.498018238693476,80.0,75.0,80.0,90.0
2,150000,41.78226017651614,34.492868793196976,35.51783863371238,42.18375548096374,90.0,70.0,70.0,90.0
2,175000,38.120669967122375,42.844521356839685,40.079455678816885,41.359390983078626,80.0,90.0,85.0,90.0
2,200000,31.899066080665214,37.05763030955568,40.90784469358623,39.484947617352006,65.0,80.0,90.0,85.0
2,225000,36.354832548392004,44.43671854883432,37.72344462662004,39.0463600737974,75.0,95.0,75.0,80.0
2,250000,34.173636976489796,34.67823492367752,38.43382213646546,42.00427514485782,70.0,70.0,80.0,90.0
2,275000,32.19446166709531,43.07902030954138,33.12411213542801,40.724056081613526,65.0,95.0,65.0,85.0
2,300000,39.94027281892486,35.142045037448405,40.56723338291049,44.11914864797145,85.0,75.0,85.0,100.0
2,325000,42.36696694009006,42.485187304764985,40.19172924049199,44.3148704007268,90.0,90.0,85.0,95.0
2,350000,45.67956900447607,38.217497960850594,45.45587540976703,39.19769397028722,100.0,80.0,100.0,80.0
2,375000,45.724566923454404,42.539253811119124,38.60404611346312,43.85765302879736,100.0,90.0,80.0,95.0
2,400000,40.4006688773632,43.606205778708684,41.87661016200436,43.68374781273305,85.0,95.0,90.0,95.0
2,425000,34.7840690152254,41.29118648599833,38.840100314468145,44.10586747946218,70.0,90.0,80.0,95.0
2,450000,42.12523894272745,43.490998269431294,44.97920792307705,43.571396127017216,90.0,95.0,100.0,95.0
2,475000,45.758516835793856,39.63308994461549,40.499602244095875,42.56466893404722,100.0,85.0,85.0,95.0
2,500000,36.155049879453145,41.77270035780966,32.64279098957777,43.091201782412824,75.0,90.0,65.0,95.0
3,0,3.2190306732431053,3.6439618902280926,3.932071804627776,3.5619520037434995,0.0,0.0,0.0,0.0
3,25000,27.57425900514936,20.782524679414927,20.340615318343044,25.040430381933767,50.0,35.0,30.0,40.0
3,50000,28.62986773861339,26.831100183475066,27.053801479330286,30.82033016863279,55.00000000000001,50.0,50.0,60.0
3,75000,31.63880739331944,31.65605209581554,39.47949836109765,39.47157546514645,70.0,60.0,80.0,80.0
3,100000,32.54903677890716,27.60992005150765,35.977818361576645,33.28712255454839,65.0,50.0,70.0,65.0
3,125000,41.725195345957765,27.663849223777653,39.582796515431255,34.976730135362594,90.0,50.0,85.0,70.0
3,150000,31.282587356993464,43.217931715399025,40.69028206691146,43.05731475569773,60.0,90.0,90.0,95.0
3,175000,40.22458925182,34.61089698020369,28.113933775620534,41.850371080823244,85.0,70.0,55.00000000000001,90.0
3,200000,39.74792116002645,39.64623513780534,37.635217532515526,41.58038043831475,85.0,85.0,80.0,95.0
3,225000,37.80670955053065,35.72208815887571,39.07925343504176,43.94033506475389,80.0,70.0,85.0,100.0
3,250000,31.969698338897434,31.79571728087573,37.847932348540056,40.20103275701403,65.0,65.0,80.0,85.0
3,275000,41.27188510708511,43.502684735134245,39.79896904220804,42.797278796695174,85.0,95.0,85.0,95.0
3,300000,36.303335910011086,41.59761247262359,38.910399741400035,44.3425029666163,75.0,90.0,85.0,100.0
3,325000,41.80614705802873,43.16623491086066,43.39205682594329,43.4555774897337,90.0,95.0,95.0,95.0
3,350000,35.85446552368812,32.06367834156845,35.32579273167066,39.503112230822445,75.0,65.0,70.0,85.0
3,375000,43.81731542060152,31.159167686104773,31.751302340626715,42.862734001129866,95.0,60.0,60.0,95.0
3,400000,42.435565122880504,39.46137506039813,41.57967281071469,44.54566128607839,90.0,85.0,90.0,100.0
3,425000,45.89245946109295,31.66507756775245,35.70733984485268,44.66011871621013,100.0,65.0,75.0,100.0
3,450000,39.49394971439615,34.2016995286569,42.13855199255049,42.44380660615862,85.0,70.0,90.0,90.0
3,475000,39.85636878593359,39.987986992299554,40.74746503941715,44.633436714671554,90.0,85.0,85.0,100.0
3,500000,43.37537247999571,38.82759826872498,42.78802274204791,43.50922768805176,95.0,85.0,95.0,95.0
4,0,4.354383432213217,6.063046425580978,4.8854407503269615,5.195142160262913,0.0,0.0,0.0,0.0
4,25000,29.857861988560764,24.07117948706607,24.62554726122655,36.48580684745684,60.0,45.0,45.0,75.0
4,50000,34.47902545650722,30.81220129925118,29.96816770993173,35.05746339685284,70.0,60.0,60.0,70.0
4,75000,32.286691987363156,39.82505482379347,30.837831582315268,37.38263510707766,65.0,85.0,60.0,80.0
4,100000,41.972073279321194,41.43522513328353,41.74161122282967,38.951914333552125,90.0,90.0,90.0,80.0
4,125000,35.577087442419725,38.246050814539196,36.26302194412565,40.11689067678526,75.0,80.0,70.0,85.0
4,150000,38.045931662595834,33.79307749816216,40.45118463896215,40.243947606254366,80.0,70.0,85.0,85.0
4,175000,39.62174905175489,37.163469050172715,38.602623286889866,43.6413370838156,85.0,75.0,75.0,95.0
4,200000,41.009747394762236,41.54316717260517,37.67271600365639,43.80242542587221,90.0,90.0,80.0,95.0
4,225000,41.760888416459785,40.7733573182486,43.253890495561066,42.9297690236941,90.0,85.0,95.0,90.0
4,250000,43.97242404213175,41.06147445458919,40.65818594712764,35.57132534328848,95.0,90.0,85.0,70.0
4,275000,39.766533048835115,42.89869159962982,37.218437891639766,40.873541126120834,85.0,90.0,75.0,85.0
4,300000,39.47329695896478,39.52852680885699,43.4252495394554,43.61837654337287,85.0,85.0,95.0,100.0
4,325000,41.95274942032993,44.771543737873436,38.63484545866959,44.2807864908129,90.0,100.0,80.0,95.0
4,350000,42.07059021147434,43.48959668762982,45.454127580672505,41.840232896618545,90.0,95.0,100.0,85.0
4,375000,41.85885106137721,43.264652385562655,38.93198429932818,42.17780547081493,90.0,95.0,80.0,85.0
4,400000,43.72599496997427,44.0300141826272,43.608886055089535,45.64328337423503,95.0,95.0,95.0,100.0
4,425000,43.73356741066091,41.43202805835754,44.249461790919305,38.37451155651361,95.0,90.0,95.0,80.0
4,450000,43.49709842307493,43.08458275583107,43.475535751879214,44.19048128798604,95.0,95.0,95.0,95.0
4,475000,35.9655313284602,43.36713300542906,40.1081992376945,42.21929904036224,75.0,95.0,85.0,90.0
4,500000,45.79614673219621,43.10903596282005,41.06845515146851,42.37786896945909,100.0,95.0,85.0,90.0
5,0,5.595795415528118,3.9702192079275846,5.073991285264492,4.497523362934589,0.0,0.0,0.0,0.0
5,25000,41.05957648647018,35.0860122367274,33.19504542537034,36.51682969643734,90.0,75.0,70.0,75.0
5,50000,35.345979727030496,33.52620593785937,33.56796954697929,29.241609400336166,75.0,70.0,70.0,55.00000000000001
5,75000,41.955431620939635,26.083793170969848,28.792079945188014,36.28041273998097,90.0,45.0,55.00000000000001,75.0
5,100000,37.47481378752855,30.44894733204419,25.22814898379147,37.75293388622813,80.0,65.0,45.0,80.0
5,125000,31.415430383691273,38.14148248475976,39.549031012039634,40.19677136857062,65.0,80.0,85.0,85.0
5,150000,37.67855617499299,33.43387057404616,39.25836575180292,39.925746111091804,80.0,65.0,85.0,85.0
5,175000,35.61151243181121,34.18986787768081,33.50616057065781,34.5617869567126,75.0,70.0,65.0,70.0
5,200000,39.41399209457158,36.21911025396548,37.11155136432499,39.94426680263132,85.0,75.0,75.0,85.0
5,225000,39.84143410732504,44.04698349833488,42.00267940945923,43.71447283965536,85.0,95.0,90.0,95.0
5,250000,39.545511001403796,39.6468201817479,42.61746886260808,43.90742501206696,85.0,85.0,95.0,95.0
