seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,5.910385609042299,7.38537351564924,12.39090549476455,9.496470322924882,0.0,0.0,0.0,0.0
1,25000,314.69476492576797,185.20595328258122,130.45057281282794,405.48544747362706,0.0,0.0,0.0,5.0
1,50000,1214.7449719063047,570.0115056770875,1147.4104283117915,1107.8627061105424,60.0,0.0,35.0,45.0
1,75000,1412.042284216167,1371.8269793767804,1205.2911775093341,1476.6878050485188,90.0,95.0,85.0,100.0
1,100000,1346.6801511492185,1455.4669884074258,1476.5902649243133,1516.5275790505889,85.0,90.0,95.0,100.0
1,125000,1466.915516493852,1458.1390348757195,1479.511591386015,1541.3624216754931,95.0,95.0,95.0,100.0
1,150000,1484.6473915320955,1399.5248756170254,1295.1207817737081,1528.888394177874,95.0,90.0,80.0,100.0
1,175000,1448.5066434227554,945.4928634081016,764.1498140018086,1485.484192606096,90.0,55.00000000000001,50.0,95.0
1,200000,1344.6555821210509,1553.8877061566227,1552.388963652237,1556.9587880053448,80.0,100.0,100.0,100.0
1,225000,1434.7208579715848,1553.8139361528629,1564.6149195853718,1568.9721255056756,85.0,100.0,100.0,100.0
1,250000,1501.7104918807697,1550.5944797107236,785.7066070590566,1546.4310007102508,100.0,100.0,50.0,100.0
1,275000,1371.2491517442859,1423.9412183613608,1555.848494045462,1568.7859153488785,85.0,85.0,95.0,100.0
1,300000,1510.8088590565226,1529.810935095215,1574.6058963271348,1576.8640392070163,95.0,100.0,100.0,100.0
1,325000,1402.6925395307317,1584.0677426199659,1408.0251471648337,1592.8677948506834,85.0,100.0,85.0,100.0
1,350000,1363.744760940766,1303.6411604353893,1498.2836581077477,1547.478967038447,80.0,75.0,75.0,100.0
1,375000,1301.5392605186491,1479.9580183783296,1590.580640784165,1591.94513101428,80.0,90.0,100.0,100.0
1,400000,1406.1662555558955,1575.9894951514634,1574.881642133479,1575.7121575516123,85.0,100.0,100.0,100.0
1,425000,1443.8574735016944,1583.4603046450857,1500.5974054008245,1560.9124383525939,75.0,100.0,95.0,95.0
1,450000,1214.0505339313895,1313.740152056975,1221.8061950823646,1382.4593288464223,75.0,85.0,75.0,85.0
1,475000,1203.4085603304381,1464.3446835571967,1583.9966158833574,1590.2734968035716,65.0,85.0,100.0,100.0
1,500000,1474.9606855052584,1528.0123952149058,1583.087234060204,1589.318206258301,95.0,95.0,100.0,100.0
2,0,2.9540122714358397,2.3890375238349137,1.6466543653449683,1.8086625542259926,0.0,0.0,0.0,0.0
2,25000,1135.0067108856156,665.9864914245165,789.4333048736146,1055.7834495422453,45.0,15.0,5.0,15.0
2,50000,1526.9074750520865,1048.611047623021,899.369312139477,1458.794258020465,100.0,55.00000000000001,55.00000000000001,95.0
2,75000,1515.458277931637,1370.5708326492052,1235.877535002594,1441.3864180403375,100.0,90.0,75.0,85.0
