seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,196.89194062839331,192.0143162887284,189.67210842559496,197.57128196176964,0.0,0.0,0.0,0.0
1,25000,497.24194799441557,447.58402689296156,463.52174155916555,471.728034416791,0.0,0.0,0.0,0.0
1,50000,1209.4567338772508,1022.278170753408,1289.8281319193263,1001.9247507298909,40.0,25.0,70.0,20.0
1,75000,1118.529449493269,1259.289350170147,1531.8758596070513,1331.0234252886585,65.0,65.0,95.0,85.0
1,100000,1540.709084581562,1574.3717531095087,1604.7715574509082,1509.3909278920553,85.0,100.0,100.0,95.0
1,125000,1627.7154551784283,1624.5748625138567,1615.076496165401,1600.3124705611401,100.0,100.0,95.0,100.0
1,150000,1622.3712600628526,1625.7498231483428,1605.781077639766,1621.0401305069438,100.0,100.0,100.0,100.0
1,175000,1613.4368847121368,1615.645985565984,1552.3866178080311,1640.8587277707284,100.0,100.0,100.0,100.0
1,200000,1614.0204384662925,1642.129589307818,1638.3076020610135,1655.2010415800353,95.0,100.0,100.0,100.0
1,225000,1628.9581511420356,1625.4800475885925,1523.3232475272375,1649.3173097498573,100.0,100.0,100.0,100.0
1,250000,1659.2884381311874,1627.1447752762026,1562.7468377237465,1661.7756664359767,100.0,100.0,100.0,100.0
1,275000,1671.426729583268,1663.0236213322823,1550.3752589392595,1629.6804636804031,100.0,100.0,100.0,100.0
1,300000,1668.3453979058002,1639.4836658570166,1612.0684037346841,1655.1676411165286,100.0,100.0,100.0,100.0
1,325000,1671.373307899278,1658.3570964978649,1550.072420476928,1674.5367552745636,100.0,100.0,100.0,100.0
1,350000,1664.4366993344834,1653.8431452326354,1634.492125438867,1672.2837078039108,100.0,95.0,100.0,100.0
1,375000,1652.2511838823216,1647.4819761191036,1617.8427537067037,1672.1828075414492,100.0,100.0,100.0,100.0
