seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,5.310833367757899,7.330260857731115,9.169430673251204,5.041743822639975,0.0,0.0,0.0,0.0
1,25000,7.344076305663163,2.0790609212435007,2.3572545421318014,8.064266354954448,0.0,0.0,0.0,0.0
1,50000,6.490329312231104,8.325466436872606,52.652143993534864,6.372642169722331,0.0,0.0,5.0,0.0
1,75000,104.15736024779878,141.60307506855162,137.7495131537049,231.78467436491877,5.0,15.0,15.0,25.0
1,100000,215.9805186979579,303.4441978790441,261.0073903281074,292.85637095555387,20.0,30.0,20.0,25.0
1,125000,604.8761979063604,603.0363983206707,542.7038586031955,635.4462135131722,50.0,55.00000000000001,40.0,55.00000000000001
1,150000,600.8792282639102,413.23499678415953,564.4631432397814,536.5631318215703,50.0,30.0,40.0,40.0
1,175000,797.1935320786213,868.0761645769514,719.7971927552704,747.4448255435586,65.0,65.0,50.0,55.00000000000001
1,200000,902.3455957807058,681.1424312653965,824.5565738798566,757.6035090010625,65.0,50.0,65.0,50.0
1,225000,1126.5948815739798,748.3575013704262,716.5811328381818,1129.9102589203007,80.0,50.0,50.0,85.0
1,250000,1024.7263866992027,1065.3056727159772,752.0254716411976,1055.0140926738593,75.0,70.0,55.00000000000001,75.0
1,275000,1088.8314637361832,941.2706184223707,719.0186326661938,1267.578382616992,75.0,60.0,55.00000000000001,90.0
1,300000,1232.632654117067,1145.6181950800424,1209.6358114269137,960.7956487814445,90.0,80.0,80.0,65.0
1,325000,1134.8067074647693,929.6281461235591,917.3663912060507,1331.3289844146102,85.0,65.0,65.0,95.0
1,350000,1359.304454897696,1175.3221733603898,1272.5505749676022,1375.429839134217,100.0,80.0,85.0,95.0
1,375000,1390.7915511194476,924.2015491075057,1204.9618695581376,1413.9315435525355,95.0,65.0,90.0,100.0
1,400000,1308.3496844534386,730.7954001403054,1283.8078472750838,1302.2367798294451,95.0,50.0,85.0,95.0
1,425000,1492.919966853256,1012.8352310605285,1399.8592401446265,1498.5317965418876,90.0,65.0,90.0,100.0
1,450000,1263.329463303098,939.9444237084559,1289.3194981408863,1533.5904349890448,85.0,60.0,80.0,100.0
1,475000,1494.264762303154,1056.1197904797868,1560.3565685054377,1351.3453884694125,85.0,55.00000000000001,95.0,80.0
1,500000,1521.2113839487483,1040.4215175083984,1550.691089055444,1642.840901893127,90.0,55.00000000000001,95.0,100.0
2,0,2.348047767333214,3.9296335979615664,2.923024679953676,2.925748313597246,0.0,0.0,0.0,0.0
2,25000,94.49234423264684,4.23104648253568,4.357538603646315,59.48162884221457,0.0,0.0,0.0,0.0
2,50000,213.70799559089522,421.5310030118888,339.1010900198718,493.37812749485903,10.0,20.0,15.0,20.0
2,75000,507.409488739055,407.89201343817416,254.78526368835998,580.9224436752523,20.0,15.0,15.0,30.0
2,100000,956.8673729089103,457.35712502001525,676.6550942325758,989.6349543813127,45.0,25.0,30.0,60.0
2,125000,1376.741468107279,993.892829486285,1242.3061182325882,1457.3126779363115,80.0,60.0,70.0,80.0
2,150000,1426.3527572403013,1135.4441070170499,1401.978393424396,1485.4246818798947,85.0,60.0,80.0,85.0
2,175000,1648.60849731578,1251.354650389823,1571.95414104114,1733.2563287790206,95.0,70.0,90.0,100.0
2,200000,1644.0593496202462,1278.6759704672154,1533.61729256501,1719.5723166578366,90.0,55.00000000000001,75.0,100.0
2,225000,1646.5962797423192,1029.9629563624246,1535.7042146391384,1731.3186793786674,95.0,45.0,75.0,100.0
2,250000,1730.6534232081533,1195.8043306733928,1601.5996693819068,1704.0232933560765,100.0,45.0,90.0,100.0
2,275000,1726.4259552649776,959.876871824316,1721.7050873358846,1716.3783560184668,100.0,40.0,100.0,95.0
2,300000,1726.6687398995618,1449.0150454683685,1705.984566857021,1672.3720971658204,100.0,75.0,100.0,95.0
2,325000,1721.6716933704902,1310.104579317123,1569.9324030249593,1694.226614288868,100.0,75.0,75.0,95.0
2,350000,1608.9589947279937,1279.6645345027566,1683.1815051968224,1732.072164051485,90.0,65.0,95.0,100.0
2,375000,1724.8576706272477,1443.9641735330354,1637.7252627892553,1677.7913886470087,100.0,75.0,95.0,90.0
2,400000,1669.0984603811369,1115.8600734528695,1692.3271211508406,1719.1600261659464,95.0,50.0,95.0,100.0
2,425000,1660.443664494891,1390.4672100158227,1534.1585471683043,1664.9415015148593,95.0,75.0,85.0,95.0
2,450000,1733.8325127046307,1323.2578186207309,1728.8117562744433,1745.8790576391577,100.0,60.0,100.0,100.0
2,475000,1710.6181559394324,1322.275263653572,1561.951499948535,1740.332744800693,100.0,70.0,90.0,100.0
2,500000,1714.4148580027263,910.9671816253345,1477.126539404138,1703.2815252623236,100.0,40.0,90.0,100.0
3,0,7.025054400639152,19.849084942965284,10.016052868527762,12.389827862328175,0.0,0.0,0.0,0.0
3,25000,59.44817685791238,5.78623179923536,5.984596483257258,10.24764223778858,5.0,0.0,0.0,0.0
3,50000,276.61934135710965,223.450182000014,457.05276659133006,377.3360194543944,15.0,10.0,30.0,25.0
3,75000,391.8186058588767,20.284635779027695,362.5237495544201,252.06615799966843,25.0,0.0,25.0,15.0
3,100000,585.9268035945729,327.0154656298728,436.48535863888935,581.4337870778852,40.0,25.0,30.0,45.0
3,125000,1060.935881927063,512.3380649261901,648.3828206719334,1062.1055761647149,75.0,30.0,45.0,75.0
3,150000,969.607068391884,795.5584496289758,1070.5919887300838,1138.5700116634632,70.0,55.00000000000001,65.0,65.0
3,175000,535.9687841086047,624.7085871315766,791.5734821854917,474.6894517239045,30.0,40.0,45.0,25.0
3,200000,989.4312869393818,1073.4361003828294,1297.865306602167,1178.3208033214055,55.00000000000001,60.0,75.0,70.0
3,225000,1457.4874483928998,1119.1011838823104,1534.796827320451,1620.4220163530404,85.0,60.0,90.0,90.0
3,250000,1571.8162657899645,1159.0268922168875,1478.8687964396638,1689.901887225185,90.0,65.0,75.0,100.0
3,275000,1565.8388319563126,1236.2542564194207,1347.6350885752795,1721.9368575948658,90.0,65.0,75.0,100.0
3,300000,1520.296138624351,1193.1772719149235,1557.9563425767928,1565.922912348472,85.0,80.0,95.0,85.0
3,325000,1584.0115638042766,1578.563900337164,1518.1458086449807,1726.1842465274972,90.0,85.0,85.0,100.0
3,350000,1200.7425191145128,978.1801001157583,1104.178874711462,1184.3778605335326,70.0,55.00000000000001,65.0,70.0
3,375000,1694.416730204979,1344.579282402994,1688.0495560757313,1714.5604940550777,100.0,80.0,100.0,100.0
3,400000,1484.3723576475768,1197.2584295744443,1671.1752193446532,1653.9075022132063,90.0,70.0,100.0,95.0
3,425000,1724.3199586114388,1331.8050932402864,1687.2648925517617,1578.1605989326415,100.0,70.0,100.0,90.0
3,450000,1720.2993616384506,1376.6109638410362,1729.1421737828027,1727.1722592920348,100.0,75.0,100.0,100.0
3,475000,1585.5257232189738,1095.1257917129371,1552.1897853539344,1728.7160580945194,95.0,50.0,85.0,100.0
3,500000,1729.0814832018532,1431.111034877346,1349.8159195189935,1733.4661016435268,100.0,80.0,75.0,100.0
4,0,6.210125416391284,6.562279117144165,6.22167314485033,5.881862737895285,0.0,0.0,0.0,0.0
4,25000,3.5822185417658816,4.930608146226663,4.318428165787854,3.7603541340333138,0.0,0.0,0.0,0.0
4,50000,56.67735549430198,107.51382401027604,22.93719699826196,23.661421475050233,5.0,5.0,0.0,0.0
4,75000,103.60498340494637,75.52681926764049,168.37417716284426,51.44411280916546,10.0,0.0,15.0,5.0
4,100000,487.27855198771357,329.8544149016347,168.5144866650051,473.00454586150016,35.0,25.0,15.0,55.00000000000001
4,125000,638.4664645390992,633.4485830467577,477.01114373129076,618.3665995396105,45.0,45.0,35.0,50.0
4,150000,1139.9604369816802,398.9400964794562,694.0142732503731,1076.7155497742401,85.0,25.0,45.0,70.0
4,175000,849.8184594972557,358.29531627417794,525.1009664051683,609.2468479563481,70.0,30.0,30.0,45.0
4,200000,957.521318017627,527.9044181463626,440.45051307594633,615.4508531289425,50.0,30.0,30.0,40.0
4,225000,947.3836737732897,752.848689291959,1122.2795588082831,865.3496459764863,70.0,40.0,65.0,55.00000000000001
4,250000,1102.5531253221043,362.81597921643754,1068.7036845437578,1130.2802886628726,60.0,10.0,70.0,70.0
4,275000,947.9133091960235,720.8354306424786,896.4039326828752,952.4022246565579,55.00000000000001,25.0,45.0,50.0
4,300000,1377.8554387256825,670.2944747595711,1214.4629224315308,1464.2546152158989,90.0,25.0,60.0,90.0
4,325000,1617.34501789292,955.7805675676873,1267.5177715303712,1519.6657115683797,95.0,50.0,80.0,95.0
4,350000,1437.1520596584917,1001.2476740923669,1445.3421464467333,1440.4894469781448,85.0,45.0,95.0,90.0
4,375000,1580.4636775986417,760.606395295319,1383.0018578347444,1635.9120233384915,95.0,40.0,80.0,95.0
4,400000,1517.3159948866257,1162.4347285409406,1618.7212928637312,1613.3256930397808,90.0,35.0,95.0,90.0
4,425000,1655.1560114205047,1476.1436705855326,1455.833437888349,1709.0658032148804,100.0,70.0,85.0,100.0
4,450000,1551.3283109438232,1114.7436940629773,1496.3583291457553,1542.5637376354305,90.0,45.0,80.0,85.0
4,475000,1710.3331755333718,1296.9097952373518,1698.9680115361487,1695.7580038889457,100.0,50.0,100.0,100.0
4,500000,1646.8153647351198,859.8443918824745,1614.6389797503957,1709.052688295686,90.0,20.0,95.0,100.0
