seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,3.3447041669430213,3.002196526192653,3.7739727128064025,3.493691738585107,0.0,0.0,0.0,0.0
1,25000,2.098914104759797,3.363018287078387,3.5233303615642937,3.6192032782218577,0.0,0.0,0.0,0.0
1,50000,703.5048117833571,45.55687638972138,27.759256945977626,609.5483622343511,35.0,0.0,0.0,15.0
1,75000,887.9715073452768,483.13367293460203,336.701929317505,903.9281440522785,30.0,0.0,0.0,40.0
1,100000,885.8033876575992,938.4358613709315,822.351076579141,923.0981917168895,25.0,30.0,20.0,40.0
1,125000,924.3933274167632,915.6347536184225,845.7827199336367,958.3648270818346,40.0,35.0,30.0,45.0
1,150000,847.6535124469323,611.7795899708626,833.0041151655641,798.9620479950119,25.0,10.0,25.0,25.0
1,175000,1015.0052819943821,867.4161962136907,993.6564125358664,916.6340632900252,40.0,20.0,50.0,35.0
1,200000,945.2159565650148,936.7235443165167,871.1923015826289,951.8872850872352,35.0,35.0,25.0,30.0
1,225000,955.0298644912357,682.6267991318807,794.7636253178542,986.5987427530702,50.0,25.0,30.0,40.0
1,250000,861.2252912794847,683.6755733446018,579.8044898537855,917.0265621252358,25.0,20.0,30.0,35.0
1,275000,956.5830187921854,943.6349190422709,949.2468180782987,1024.238110716978,40.0,40.0,35.0,45.0
1,300000,948.9910560363836,894.3791455998116,836.7441456020633,1042.0513011652008,50.0,45.0,20.0,40.0
1,325000,972.9446011244145,921.6455528063756,928.3626524172516,862.5796128011734,40.0,45.0,45.0,25.0
1,350000,889.6939034952914,992.9170936228049,850.0982936813958,995.521947514601,40.0,50.0,35.0,45.0
1,375000,859.8797408993416,840.2551410385792,922.8343653452215,1057.348588099563,35.0,25.0,45.0,60.0
1,400000,957.3302239996017,951.9549274236097,930.7038933343432,844.8170245399351,45.0,45.0,35.0,15.0
1,425000,909.9470188936791,687.2046080293818,448.2652301832283,1003.7766392919035,35.0,30.0,10.0,45.0
1,450000,935.8142193223053,1087.9533218068484,963.7741567541595,956.5788944874054,25.0,60.0,50.0,45.0
1,475000,929.5820891750939,809.0954344222898,834.6631462864752,885.2711960621234,35.0,25.0,55.00000000000001,30.0
1,500000,868.8672160115927,776.5463552001014,902.8293885212663,899.7389223518879,30.0,20.0,45.0,35.0
2,0,1.6903032020258482,2.2329303959143525,1.8617678529010107,1.7478428967497806,0.0,0.0,0.0,0.0
2,25000,10.76871954219536,8.239092326368475,11.30961672433083,11.57353783444283,0.0,0.0,0.0,0.0
2,50000,547.8236007827431,553.4842467336996,474.6683005463241,639.9160722655223,10.0,30.0,25.0,45.0
2,75000,845.3759729024521,804.9326795524462,770.5704498220872,878.5898363288,35.0,40.0,35.0,35.0
2,100000,1001.4921674793759,846.8011417059355,637.7514712963398,835.9053712610646,45.0,35.0,30.0,40.0
2,125000,868.1166653062286,877.4587917955441,820.3633328389682,925.8085394538655,40.0,30.0,30.0,45.0
