seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,10.582112913398673,9.936451984832662,14.546151921862293,11.255007222803275,0.0,0.0,0.0,0.0
1,25000,651.6042336876915,566.1165260944163,630.7018755639058,674.0555548734176,0.0,0.0,0.0,0.0
1,50000,1127.6974429973257,692.8710356578123,726.5064708882376,1012.3773955519148,0.0,0.0,0.0,0.0
1,75000,1697.3532487168345,1334.6513088354714,1090.1983330072924,1685.2869241776382,45.0,60.0,40.0,60.0
1,100000,1657.8772768989925,1065.9345878540423,1243.5963972616369,1669.047154521478,80.0,30.0,25.0,70.0
1,125000,1763.651514836743,1326.2475227140399,1361.5367482542056,1764.5300056230492,95.0,80.0,70.0,100.0
1,150000,1764.088778896851,1586.252134609739,1739.7655553041138,1752.690883939765,100.0,70.0,95.0,95.0
1,175000,1772.0694619549165,1585.3071930732704,1714.6760896856115,1772.6569958571272,100.0,90.0,90.0,100.0
1,200000,1698.9623925711821,1355.3084731957938,1539.5520849762577,1521.8144458799918,90.0,60.0,80.0,90.0
1,225000,1774.1227160672195,1555.7896017353362,1642.2057674422103,1771.6237938192796,100.0,80.0,85.0,100.0
1,250000,1702.5964662349488,1592.7054821860436,1660.0951772785818,1740.6958848283732,95.0,90.0,90.0,100.0
1,275000,1774.419968138766,1559.040819987246,1667.4605027985479,1770.7028433242572,100.0,85.0,80.0,100.0
1,300000,1730.1381902859036,1281.737888058429,1749.1412531061746,1763.6184558974378,100.0,60.0,100.0,100.0
1,325000,1767.3728833113244,1766.3165858838117,1637.6224168204874,1777.3970459409843,100.0,100.0,90.0,100.0
1,350000,1780.5219292246625,1777.7152174164596,1694.6567104783649,1783.7498587578389,100.0,100.0,95.0,100.0
1,375000,1775.672832371578,1612.8406943698644,1776.6583304499259,1777.5358814645483,100.0,95.0,100.0,100.0
1,400000,1745.673116420406,1536.1488559340785,1700.9236077944647,1604.106524616932,100.0,80.0,95.0,90.0
1,425000,1780.1718735202383,1604.59096538249,1526.3487215198975,1782.6268249784055,100.0,75.0,70.0,95.0
1,450000,1782.8693118482056,1580.4023541984147,1760.0468020081648,1781.6442008034476,100.0,90.0,100.0,100.0
1,475000,1776.100243975175,1510.6943109529593,1738.7424395514086,1783.1603811597568,100.0,75.0,95.0,100.0
1,500000,1781.7372894591597,1693.0726935286643,1700.4619130509404,1784.068851950191,100.0,85.0,90.0,100.0
2,0,5.518089913693962,7.415795579274267,6.36258028220694,5.8451017468901565,0.0,0.0,0.0,0.0
2,25000,1305.5392353225604,1114.8865662649594,1192.514113430026,1272.083598064442,15.0,10.0,0.0,10.0
