seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,75000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,125000,45.3261251245985,13.907395943860237,14.95520557342256,38.77658697480711,0.0,0.0,0.0,0.0
1,150000,79.16350857740017,55.729145080825944,78.8077762057632,70.19614579773979,0.0,0.0,0.0,0.0
1,175000,130.0678200652772,68.79575273118363,87.45844399920577,162.59908483281157,0.0,0.0,0.0,0.0
1,200000,208.93152310289534,163.09025755804302,172.91280451624505,212.48227150975453,0.0,0.0,0.0,0.0
1,225000,231.25907213416127,232.24900361298583,234.47638198039644,239.3593155944251,0.0,0.0,0.0,0.0
1,250000,232.84706851768496,215.7718467155051,230.61673720470657,248.31121929854922,0.0,0.0,0.0,0.0
1,275000,304.4819021578332,200.62515336414765,267.08366914294896,310.1364669097005,0.0,0.0,0.0,0.0
1,300000,267.82120533644536,280.19645240877816,284.52726204864496,297.63527403879414,0.0,0.0,0.0,0.0
1,325000,299.5293551741779,200.69681167625455,316.40399258309577,302.341424575943,0.0,0.0,0.0,0.0
1,350000,349.6037138569792,289.80385234629557,339.717354930374,336.9344223400373,0.0,0.0,0.0,0.0
1,375000,332.2790388806439,248.54807635851358,296.5885134448366,331.01991336088236,0.0,0.0,0.0,0.0
1,400000,334.4669244010494,323.56098832086195,327.371477923454,330.52013707551794,0.0,0.0,0.0,0.0
1,425000,343.933051523764,319.8814666237937,320.5678152852581,342.6284628936197,0.0,0.0,0.0,0.0
1,450000,343.43701442696437,331.72081671560755,340.9709237384482,341.4532856378211,0.0,0.0,0.0,0.0
1,475000,355.59861028076125,338.6578675131067,338.6098340676416,350.29464720698354,0.0,0.0,0.0,0.0
1,500000,330.98697038475626,323.38270182268906,299.7207914056647,344.8918979042573,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25000,73.15831874208529,86.36744399772252,46.425519740368614,147.49275030455613,0.0,0.0,0.0,0.0
2,50000,192.854418961473,180.24696285288556,112.902559846273,238.22272113918243,5.0,15.0,5.0,0.0
2,75000,595.2817919915602,440.5774774822442,506.51121527847624,455.7341125355135,20.0,40.0,55.00000000000001,45.0
2,100000,972.6117386458964,460.9722589955312,476.979985769825,832.2247890894545,85.0,50.0,45.0,70.0
