seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,94.12190117724057,120.5052418260542,79.33607391746573,84.48391684438465,0.0,0.0,0.0,0.0
1,25000,162.69928486670833,103.6170171088961,134.14504537569192,127.85385363079585,0.0,0.0,0.0,0.0
1,50000,90.16706819149877,104.75135868863109,110.70628235765034,104.1343896976894,0.0,0.0,0.0,0.0
1,75000,356.69698139193514,198.8477863604574,484.7201733685497,311.52848167891807,15.0,5.0,25.0,5.0
1,100000,617.4195929522342,482.9507497531564,575.8663840964116,772.8865230856978,35.0,30.0,25.0,40.0
1,125000,429.0939501650217,571.0418425441015,758.1978664318915,720.2353523233149,20.0,40.0,40.0,40.0
1,150000,1294.6624631681655,457.7635753127688,621.9634384538498,1616.0797117985035,60.0,15.0,30.0,90.0
1,175000,998.1143800509969,780.3238317477819,201.6920816846141,981.0939994150067,65.0,40.0,10.0,40.0
1,200000,1095.1895206089393,712.3847200212027,476.4152634161561,1647.2307773794978,55.00000000000001,20.0,30.0,100.0
1,225000,1173.1298897737288,776.7307839621993,366.6519875287784,1431.1292557921602,75.0,50.0,25.0,80.0
1,250000,1657.8168383136376,77.32222683682339,41.478696563826816,1684.9561141290585,90.0,5.0,0.0,95.0
1,275000,1452.4828788911786,219.73987278257738,276.54104265094503,1568.3294243227756,75.0,15.0,20.0,90.0
1,300000,904.9915818594593,642.3882165921761,243.75030126066886,1517.5684000570327,65.0,35.0,5.0,85.0
1,325000,1185.170726464174,1067.6718774191766,384.2748187761805,1682.4413671668153,85.0,50.0,30.0,100.0
1,350000,1340.3986317139716,395.060597373519,148.9031621646629,1709.1657614946366,85.0,10.0,15.0,90.0
1,375000,1206.9041858007301,328.3611459149576,44.47811976449593,1634.289716663654,70.0,25.0,0.0,95.0
1,400000,1472.6244919593373,699.4176015811408,65.31153923974344,1764.3600325088933,85.0,50.0,5.0,100.0
1,425000,1480.7561978353829,640.0715337452563,71.23454047799885,1663.4666655675042,90.0,15.0,5.0,95.0
1,450000,1554.3487375676057,301.1846321295819,109.11894259951995,1742.2119224380817,90.0,10.0,15.0,100.0
1,475000,1332.902774532664,1299.7822794848973,521.3645373277508,1767.670913377279,90.0,75.0,35.0,100.0
1,500000,1164.291140323237,192.3889222000743,127.25823997336265,1716.4647331222193,85.0,0.0,5.0,85.0
2,0,82.93555531782813,93.8301963893795,99.49689001440947,116.05369730920958,0.0,5.0,0.0,0.0
2,25000,163.3693909128953,204.2861901035376,182.65373359308578,163.7014983266594,0.0,0.0,0.0,0.0
2,50000,137.25366596909,233.14789439639662,153.9803506080272,326.6345299763692,0.0,0.0,0.0,0.0
2,75000,427.64312208917545,226.08508991103298,221.84557385143927,302.6399686726989,0.0,0.0,0.0,0.0
2,100000,650.7710992263492,550.1266814573304,334.09783560565216,978.2504997534048,30.0,5.0,0.0,40.0
2,125000,569.3961452457518,640.9037349067821,355.90051836465193,1246.8413539517758,35.0,55.00000000000001,25.0,75.0
2,150000,1006.1528724386241,376.9677980409698,399.3201510610619,974.8382182043581,70.0,20.0,25.0,45.0
2,175000,1313.5510333635036,1054.72258849715,579.0539963299377,1473.3680165313167,90.0,65.0,30.0,95.0
2,200000,1450.5619198217812,859.840612054398,1096.9907839338528,1509.332929133196,85.0,45.0,55.00000000000001,90.0
2,225000,1283.5745674162354,1136.2268667440862,511.0206662753855,1703.9146773143577,70.0,70.0,35.0,100.0
2,250000,1061.5007998328097,533.7974740159858,391.8103280563024,1066.1068841207918,65.0,30.0,30.0,55.00000000000001
2,275000,1135.2921180349374,1214.0389261592034,563.4682562045521,1442.5778341654134,60.0,70.0,35.0,80.0
2,300000,1512.4166105500321,795.0695759416252,270.18937140084347,1495.7968555225477,90.0,50.0,15.0,80.0
2,325000,905.2981004640693,978.7751401789025,355.6550539392604,1526.319952346373,25.0,50.0,10.0,90.0
2,350000,1422.3341752849433,924.0392092713915,562.4429292769498,1563.357804296352,85.0,50.0,40.0,85.0
2,375000,1609.1377285502924,818.2827767790999,367.3359225571003,1779.4215062305332,95.0,45.0,20.0,100.0
2,400000,1559.3033921570634,491.9772059405062,250.16949237840157,1589.6426455882727,85.0,15.0,20.0,90.0
2,425000,1420.6848068107586,796.1252277507243,514.2819084189841,1767.8396814098444,95.0,35.0,35.0,100.0
2,450000,1340.7908732281371,755.4042157262389,639.4689335189629,1744.7538774966263,85.0,30.0,40.0,85.0
2,475000,1600.9934215483074,1248.8628819436249,933.2392960378374,1761.5086263785402,100.0,65.0,65.0,100.0
2,500000,1608.9128626168044,1156.9271317921507,938.3138559885714,1772.3971210040152,95.0,80.0,65.0,100.0
