seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,2.0254721555901716,3.0782696765079502,3.7758740242511086,2.6994962989562628,0.0,0.0,0.0,0.0
1,25000,219.02936889648112,178.4201571274745,183.84149504984526,167.7251275500853,0.0,0.0,0.0,0.0
1,50000,281.84813490856016,268.06055325759064,287.13165570664637,277.9602204953011,0.0,0.0,0.0,0.0
1,75000,497.6654667700456,560.7969948818563,413.9893828526915,516.718860211615,0.0,5.0,5.0,0.0
1,100000,476.47123472722296,517.3967666660202,305.97176760416227,359.53155227267655,5.0,15.0,5.0,0.0
1,125000,1385.494556091006,1303.526448961777,1196.4892888142026,1355.2713677266543,50.0,65.0,45.0,65.0
1,150000,1110.9443392731328,804.8992034469185,1288.5798785822021,1093.1540933343326,65.0,40.0,75.0,65.0
1,175000,1444.089068823712,1326.8390293884995,1312.1276833005552,1255.57490834568,95.0,80.0,90.0,65.0
1,200000,1281.8290998406408,1343.9078387532118,1296.9305517750604,1336.2763003165458,65.0,75.0,55.00000000000001,50.0
1,225000,1388.5127452262154,1376.1616340154737,1404.9673996034921,1392.3501422850627,65.0,75.0,75.0,90.0
1,250000,1443.9540735884893,1452.8192332525173,1482.377903664205,1410.8807236539096,90.0,80.0,95.0,85.0
1,275000,1251.3676940886703,1390.5647694955392,1391.5281408368162,1388.9691036441661,80.0,90.0,85.0,90.0
1,300000,1204.9443267473894,1393.9632330637073,1326.7597705658477,1327.6210016746595,40.0,85.0,70.0,75.0
1,325000,1499.3155391608484,1464.0129275253862,1498.19877249524,1426.619033501452,95.0,85.0,90.0,80.0
1,350000,1474.0132528179279,1476.035720238522,1492.8980453280005,1506.7443522588414,95.0,85.0,90.0,95.0
1,375000,1509.8568915252276,1460.7514176014693,1510.0265928127737,1521.68787191773,100.0,90.0,100.0,100.0
1,400000,1471.4759006654735,1476.1163063930633,1312.941403651138,1424.3848876668976,85.0,85.0,85.0,80.0
1,425000,1477.0182671098366,1442.926560913382,1529.8543799850322,1365.8091499008572,95.0,85.0,100.0,75.0
1,450000,1296.7559373840681,1192.0044169481002,1136.5286789988875,1255.1896960618164,75.0,45.0,55.00000000000001,75.0
1,475000,1504.2238944613698,1494.8314841672113,1440.1143952491072,1392.1072353495524,95.0,85.0,90.0,90.0
1,500000,1482.3722936594984,1496.1365665341943,1393.170691454336,1535.601519837183,90.0,85.0,90.0,100.0
2,0,2.8358252827977006,2.422345065924036,2.806434228315642,2.958207918883183,0.0,0.0,0.0,0.0
2,25000,137.7235033852451,91.57181076562541,3.492789855222682,47.194735391110484,0.0,0.0,0.0,0.0
2,50000,518.5014850989536,581.1365372282253,730.1234922243517,608.774682708206,0.0,5.0,0.0,0.0
2,75000,1288.59430229677,1117.221925053056,1048.620643315364,1189.1827605111469,50.0,30.0,40.0,40.0
2,100000,1007.6188317546614,1192.6099086044858,1122.0725161903404,1023.7478752382016,30.0,45.0,55.00000000000001,55.00000000000001
2,125000,1035.2981830605459,1115.1885267960865,1184.9209639594653,1222.6848069820276,50.0,50.0,50.0,60.0
2,150000,1440.8129691693134,1428.5413064125696,1287.4748021677465,1423.3390165825217,90.0,90.0,70.0,90.0
2,175000,1383.1036312051851,1321.305729018794,1405.9423244688976,1333.1404407203595,75.0,70.0,90.0,80.0
2,200000,1395.8663682425129,1376.2752498596599,1476.694247625102,1399.7329492724127,80.0,75.0,90.0,90.0
2,225000,1334.248744589143,1332.0171050980239,1436.7723332411128,1446.9595141987295,80.0,85.0,90.0,85.0
2,250000,1107.5483498185256,1484.8718087989478,1426.2061393770327,1259.2608485519727,55.00000000000001,90.0,85.0,60.0
2,275000,1361.380172230402,1346.0567940632022,1327.2348825881832,1367.434618556029,75.0,80.0,65.0,75.0
2,300000,1266.9959030989635,1380.8717789149064,1358.0891095532747,1277.384152114923,70.0,65.0,70.0,70.0
2,325000,1450.4792440250403,1413.5445974057393,1478.7306778175748,1436.3006510577063,90.0,90.0,95.0,90.0
2,350000,1447.7747635683754,1451.8044413021883,1376.448364485621,1395.4183137609575,95.0,95.0,90.0,80.0
2,375000,1452.6282537228235,1435.549680232656,1426.799655448862,1458.2034691158537,80.0,80.0,85.0,90.0
2,400000,1402.343461826892,1429.7727555394129,1398.1622248253188,1399.2661762247485,80.0,80.0,65.0,75.0
2,425000,1448.3561535424492,1375.989052868929,1413.875689036053,1433.5184096159824,85.0,85.0,85.0,85.0
2,450000,1435.1191310254312,1490.4262937547446,1449.0350887273962,1407.9258805830673,80.0,100.0,75.0,85.0
2,475000,1427.5043074003686,1373.589316689264,1341.4960951353871,1413.1454962550424,80.0,80.0,70.0,75.0
2,500000,1508.546554648881,1469.945651031022,1490.4314649555422,1304.0246927211242,95.0,85.0,100.0,75.0
3,0,3.6803525361071863,9.51849883335672,5.9974572273329665,7.612784888398565,0.0,0.0,0.0,0.0
3,25000,158.29140941741173,119.50236037963785,145.57694128331525,184.97622943943833,0.0,0.0,0.0,0.0
3,50000,385.8114120929255,722.8752173974117,792.7238647345827,773.5296441774426,0.0,0.0,0.0,0.0
3,75000,809.2894100769597,689.9705960354408,824.8357674938416,842.8696920826976,0.0,10.0,0.0,0.0
3,100000,940.5594273268837,1054.8240204685449,956.3491112954194,1021.2264527662983,5.0,5.0,5.0,0.0
3,125000,1368.9785305902215,1123.9511013724934,1261.0204831263386,1187.990565359354,65.0,30.0,50.0,35.0
3,150000,1318.465537025916,1286.5168713279834,1186.7791456473196,1370.5644834726581,55.00000000000001,60.0,70.0,75.0
3,175000,1376.232761085559,1320.5805042356437,1394.7836048001939,1219.8798718819146,75.0,55.00000000000001,80.0,60.0
3,200000,1370.610270967022,1340.542150668484,1393.092928959884,1413.1656003261269,65.0,80.0,60.0,55.00000000000001
3,225000,1496.4620887789472,1209.4329952848486,1484.1048583531729,1474.0740895849901,95.0,65.0,85.0,85.0
3,250000,1449.5468890110462,1312.5628479949685,1421.2037395467892,1461.5007375757566,85.0,80.0,80.0,85.0
3,275000,1493.2534462872304,1288.064314574708,1493.7416397253592,1537.625563009365,95.0,65.0,95.0,100.0
3,300000,1500.143742151931,1508.8293127635384,1443.376491585927,1447.2936440276133,95.0,85.0,95.0,85.0
