seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,193.79581968610628,189.49503043971112,187.09334343811128,194.67885778924483,0.0,0.0,0.0,0.0
1,25000,391.09474445216387,413.8432866913905,448.7589115633662,436.5796057673668,50.0,60.0,60.0,35.0
1,50000,900.7948579400261,976.3666261103342,902.5058595363947,948.2490824727987,5.0,20.0,0.0,5.0
1,75000,1043.1066588389283,1164.7682838451715,1013.3344428543794,1203.7157770335468,60.0,60.0,65.0,60.0
1,100000,1150.1651435277467,1185.1986464598765,1028.5183076333874,1213.3252183096743,45.0,55.00000000000001,40.0,65.0
1,125000,960.5699594207812,1163.5196983597357,1040.473940517637,932.7917056196177,80.0,65.0,60.0,60.0
1,150000,1182.1190397894643,1172.7835873434249,1028.2116318502822,1127.445824973472,85.0,65.0,75.0,70.0
1,175000,1177.2761744645209,1246.5015724720406,1273.0850026704948,1365.3002369926867,55.00000000000001,65.0,65.0,60.0
1,200000,1103.6935303662874,1074.0076647673543,1235.4480407822025,1263.716453190939,80.0,70.0,80.0,75.0
1,225000,1268.4778844862458,1237.6811082508052,1370.2596444704502,1198.3380092835957,85.0,95.0,90.0,80.0
1,250000,1344.3698664862436,1308.795223179919,1357.066588813974,1330.0338326393635,85.0,75.0,90.0,85.0
1,275000,1134.5389582092346,1351.31014111847,1448.794476571855,1420.6723061730158,75.0,80.0,95.0,90.0
1,300000,1266.5400139151284,1367.4124776012882,1364.5971345535004,1301.262456332472,75.0,90.0,95.0,90.0
1,325000,1125.8691294221244,1261.7286575588075,1124.1606263450342,1231.986521008721,95.0,90.0,95.0,90.0
1,350000,1490.5930658277555,1513.295675570922,1406.153407264484,1328.7252675371415,100.0,90.0,90.0,95.0
1,375000,1233.040270451863,1341.5613154284963,1223.7410506242152,1380.7889726865558,100.0,95.0,95.0,100.0
1,400000,1312.6521774982946,1378.8011746897753,1463.2049033167102,1310.7447813458791,95.0,95.0,90.0,100.0
1,425000,1437.7017332159264,1444.7031479135444,1495.9416578621822,1480.0899801119408,100.0,90.0,95.0,100.0
1,450000,1418.9096901648593,1566.1737276299932,1498.326166271892,1555.8382749897921,95.0,95.0,95.0,100.0
1,475000,1552.8863111062974,1519.3174390182116,1554.9250614158123,1367.728109277274,100.0,95.0,100.0,90.0
1,500000,1409.2601841823898,1460.0219084668165,1480.2700134204774,1517.5531633498026,95.0,90.0,100.0,95.0
2,0,187.5491782397081,189.25594315707082,185.0540842675599,193.08061262764403,0.0,0.0,0.0,0.0
2,25000,413.1841911791066,444.5522018019953,385.7297586192662,462.73592701894825,0.0,5.0,10.0,5.0
2,50000,875.4768164497633,880.7102681590028,748.5471453236426,890.8585497013188,0.0,5.0,10.0,0.0
2,75000,911.4740483600774,928.4868155903054,924.5244168163056,913.5577263235479,0.0,0.0,0.0,0.0
2,100000,952.413577639239,929.5351305313209,913.03746222307,954.2179162402379,25.0,25.0,10.0,20.0
2,125000,838.3654326556978,855.9911956551801,876.2142922041278,857.5218867699084,0.0,0.0,0.0,0.0
2,150000,899.459066680881,847.0397949700525,897.5954360617076,874.7799571791431,0.0,0.0,0.0,0.0
2,175000,918.5510571340449,963.1993865148282,883.5854428314651,930.4208241711606,0.0,5.0,0.0,0.0
2,200000,985.6858779889369,953.3426879752242,954.4521558031932,956.776414768947,15.0,0.0,5.0,0.0
2,225000,950.6426120836813,907.3482313222248,910.4080566979364,910.564912497339,0.0,0.0,0.0,0.0
2,250000,975.1407589658593,957.0461119962747,979.6033496917123,995.7901935495995,0.0,0.0,0.0,0.0
2,275000,947.6728757722616,957.8997597851658,964.636857196055,953.4038048489676,0.0,5.0,20.0,5.0
2,300000,964.653877087864,967.936390163081,960.0823043678371,942.667527430501,0.0,5.0,5.0,0.0
2,325000,960.7932084514563,963.8338063522506,973.2894551339601,1006.052504700124,0.0,0.0,5.0,5.0
2,350000,1000.5356804264427,1020.725949887132,1064.9778585785652,1015.4805951680734,10.0,10.0,20.0,5.0
2,375000,941.004197260512,985.9538275869088,957.8064530722643,1004.0591719058573,10.0,10.0,5.0,5.0
2,400000,972.2027664588175,986.6785749490916,1014.6908792239959,981.9677332074122,10.0,0.0,10.0,5.0
2,425000,943.491071846333,912.0300633532104,944.5192022561221,945.0606973675118,0.0,5.0,0.0,0.0
2,450000,1018.3362353313785,1002.3922149285112,981.7204201075767,1038.999459537846,20.0,20.0,20.0,35.0
2,475000,979.5901644050612,994.4536538110057,978.9327927190759,998.9215013488226,0.0,0.0,0.0,0.0
2,500000,991.8787824423165,1000.0024689462218,922.1052972892921,998.3591562388499,10.0,20.0,25.0,25.0
3,0,198.8131264881162,216.05975706490366,209.72677760672855,200.51729774444124,0.0,0.0,0.0,0.0
3,25000,186.10097865591413,182.3176623741379,183.55228339856757,176.44675074516744,0.0,0.0,0.0,0.0
3,50000,196.88621632114467,192.1526974451794,191.70785365487214,181.42712475651467,0.0,0.0,0.0,0.0
3,75000,398.50730220477124,559.8190726943751,455.99180952778596,476.60026438476024,30.0,10.0,5.0,15.0
3,100000,681.2900045512662,687.6708603383083,677.76025203657,689.9887029161201,0.0,0.0,0.0,0.0
3,125000,620.2592705649283,666.4857763950594,676.3236814777167,659.7751884495117,0.0,0.0,0.0,0.0
3,150000,691.0002180329527,702.9306092195827,702.3135694454041,703.3579256108358,0.0,0.0,0.0,0.0
3,175000,661.5860444273005,661.5657101449375,654.7611925350956,660.7828912541949,0.0,0.0,0.0,0.0
3,200000,709.5758609220051,702.9755573767367,702.8632602837754,702.3710050969229,0.0,0.0,0.0,0.0
3,225000,707.0004140903004,706.450452407101,707.3473874223074,707.1775370147632,0.0,0.0,0.0,0.0
3,250000,693.2857667319731,704.6412018267545,701.7548028219142,705.6627376753402,5.0,0.0,0.0,0.0
3,275000,713.6037174135461,725.8847407200367,719.8680442990305,723.8825846364062,0.0,0.0,0.0,0.0
3,300000,729.4395379848582,712.8661547820118,717.6993545339499,719.2279804825769,0.0,0.0,0.0,0.0
3,325000,718.0543308634217,724.020073724799,732.1461341209499,720.8233529091063,0.0,0.0,0.0,0.0
3,350000,682.866085949363,711.2243934395707,710.1208475968372,713.4278853194782,0.0,0.0,0.0,0.0
3,375000,716.699723028724,721.8795822323748,677.9793888949619,728.6704574518861,0.0,0.0,0.0,0.0
3,400000,707.5122190483031,714.6682968584705,722.7359536427325,721.7416369968222,0.0,0.0,0.0,0.0
