seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,2.3457951551646814,2.832492460704077,2.8305246824232553,2.725643985771252,0.0,0.0,0.0,0.0
1,25000,37.238430856250275,19.359615372304095,17.723025214855106,39.146641361802494,0.0,0.0,0.0,0.0
1,50000,280.7792876840767,303.44563086717505,280.7484035498627,278.6464237014911,0.0,0.0,0.0,0.0
1,75000,420.36594686232064,434.26372186689616,436.4151451485005,419.52185873109454,0.0,0.0,0.0,0.0
1,100000,515.3380905271237,554.8049626636584,471.97392643339754,461.53829509931285,0.0,0.0,0.0,0.0
1,125000,401.53716980569936,380.6969004477581,395.954827177834,376.6219491088831,5.0,5.0,5.0,5.0
1,150000,902.4098180478007,955.8628559745781,917.0613302365149,656.1868555258493,45.0,60.0,50.0,30.0
1,175000,767.1095412934953,960.4618061681307,1142.9281629877278,959.724632163364,45.0,60.0,70.0,65.0
1,200000,635.6505710711973,959.3288112038214,1145.6395017178772,1052.6260210723174,35.0,65.0,75.0,75.0
1,225000,960.0934598863545,951.1711931799003,799.6943305845247,1154.9729366783417,65.0,55.00000000000001,50.0,75.0
1,250000,729.4719666347594,1149.7021605050036,981.420960459917,827.7309233340617,45.0,70.0,60.0,55.00000000000001
1,275000,762.5396615009515,1140.3775660818162,1154.1964319435524,926.6555970559024,50.0,75.0,70.0,60.0
1,300000,812.7484913419607,1286.3804067572032,1134.4196835745176,1146.454889099898,45.0,90.0,85.0,80.0
1,325000,982.0622741563845,1137.1703709809346,1129.2112509142844,1155.0298491049152,60.0,80.0,80.0,80.0
1,350000,837.357632146531,1185.213013781196,1195.4381876719326,1206.7738707075912,50.0,80.0,85.0,85.0
1,375000,1039.672122049114,1333.1897066758324,1361.398376063604,1290.9064624125415,70.0,90.0,95.0,90.0
1,400000,1217.736166608409,1372.616824034883,1379.8549434673125,1229.5370408095014,85.0,95.0,95.0,85.0
1,425000,1035.096124995719,1350.9840449797944,1257.7846048779315,1371.2261872201873,70.0,90.0,85.0,95.0
1,450000,1028.9679295941273,1334.5812250199322,1217.0577353432923,1253.4874252242114,70.0,100.0,85.0,90.0
1,475000,1351.9161522557758,1400.4041988109163,1501.2210930654614,1283.5692347775741,95.0,90.0,100.0,90.0
