seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,6.821160061983763,10.976750393726075,10.979673075322294,9.51351666282066,0.0,0.0,0.0,0.0
1,25000,192.62911063933785,188.7957441223808,189.7470393087607,132.90335963037583,15.0,15.0,10.0,5.0
1,50000,123.11527897396783,200.2820404258228,81.4517467070793,209.00878375613343,0.0,10.0,0.0,0.0
1,75000,166.2172324873668,147.8421481708752,214.41378996886723,115.90022428890867,5.0,5.0,5.0,0.0
1,100000,84.13576523397279,75.65195981426788,78.00115185554981,154.5356825700009,0.0,0.0,0.0,10.0
1,125000,227.67720847732107,250.03047863280935,127.94733433448002,113.52752753269263,10.0,5.0,0.0,0.0
1,150000,128.5648335887398,118.01346967246641,248.31534180862042,181.02876067059933,0.0,0.0,10.0,10.0
1,175000,239.81688256282655,290.80210974957834,260.7488101202701,258.6448393075533,5.0,5.0,15.0,15.0
1,200000,300.7608379523408,194.61174412647327,142.83123460494843,302.9673138739652,15.0,10.0,5.0,20.0
1,225000,376.7676028595944,419.1673064748858,372.99708259145143,245.26843668116902,20.0,25.0,25.0,10.0
1,250000,308.51215890052976,431.7812517853505,453.3348416942207,477.7588838274704,30.0,25.0,25.0,40.0
1,275000,302.63719902200467,324.76544279863316,320.8024488251599,316.8307617929812,20.0,15.0,10.0,10.0
1,300000,370.6517964976234,490.76691514591784,390.89263476270514,456.299154821486,25.0,25.0,35.0,35.0
1,325000,475.5234306203391,494.9847931290058,370.04098148491784,363.0287868778903,35.0,40.0,35.0,20.0
1,350000,592.7292566782722,353.89410086034206,448.1899264515756,237.93007096426953,50.0,25.0,30.0,15.0
1,375000,292.30577868243944,536.9806641185378,482.72634278035576,645.1092633015861,5.0,50.0,40.0,45.0
1,400000,495.23455884053203,313.1845295647717,328.1558947589455,370.0918996123857,35.0,20.0,20.0,30.0
1,425000,346.3358171260794,571.150791612052,554.6347508373314,487.44211880709315,15.0,30.0,35.0,30.0
1,450000,412.4621896364076,323.3207175207407,279.7371324168256,272.21006403355807,20.0,15.0,20.0,15.0
1,475000,535.9202624180696,439.4350011936939,430.0854262846263,320.374649156624,30.0,35.0,30.0,20.0
1,500000,470.3267562851764,431.8926085650113,313.33781983272917,446.76165658291984,25.0,30.0,15.0,25.0
2,0,6.932389122192177,8.994566992417486,9.452340594703365,8.316670041673351,0.0,0.0,0.0,0.0
2,25000,125.35703069355122,97.0818215932291,124.03477278265163,182.59144248653575,5.0,10.0,5.0,10.0
2,50000,161.8001876704172,107.37360125687948,86.28802771194873,110.2783255103199,10.0,5.0,0.0,5.0
2,75000,105.16336429218893,72.11706193595421,94.25667815077875,87.13655722789186,0.0,0.0,5.0,0.0
2,100000,124.57835551216162,172.3264870138603,114.9483826686782,198.70924663924427,0.0,0.0,0.0,0.0
2,125000,204.11758446450887,197.5152278924676,197.7982879826057,145.37433078704498,5.0,0.0,15.0,0.0
2,150000,240.44308645592486,252.39165809299206,216.78146197626143,249.98798346673908,0.0,10.0,5.0,0.0
2,175000,267.8549398276938,230.42657530444762,234.9392765615427,193.72420567183528,0.0,0.0,0.0,0.0
2,200000,405.6109879682258,288.49898130122784,275.9273233690754,278.6011782787089,0.0,5.0,0.0,0.0
2,225000,505.24473264299206,346.8556903630894,321.79279275500903,498.3707760303141,5.0,0.0,5.0,0.0
2,250000,463.22388658101926,352.7067334890853,450.85802825877573,369.9423497362989,5.0,0.0,0.0,0.0
2,275000,503.8572509777,393.1250839457328,573.3434084219668,599.7879771591937,10.0,20.0,25.0,20.0
2,300000,714.9597443321633,451.70724110098155,576.8799022689284,637.0304028856574,50.0,15.0,5.0,30.0
2,325000,608.2491786253478,564.4677651829686,553.0471997599835,512.1354026993631,15.0,15.0,5.0,25.0
2,350000,785.6240119203558,457.8193900374693,645.9061298715022,517.761716941114,35.0,10.0,10.0,10.0
2,375000,585.4257358052407,461.4612940091596,715.1907878524632,501.61515288504853,25.0,15.0,20.0,5.0
2,400000,758.7957115463569,443.38311793278035,596.4123433151606,678.9500755223685,25.0,0.0,10.0,20.0
2,425000,596.2253797483224,813.9302646407943,593.9251165501821,549.3673024565433,30.0,35.0,30.0,25.0
2,450000,650.2879221652842,618.8673090004329,600.5513714522665,754.1297895998299,15.0,25.0,15.0,25.0
2,475000,624.366249729377,590.1679012648033,677.3021059283449,787.7081819538877,20.0,25.0,15.0,25.0
2,500000,941.9969260580343,736.4138607998696,719.843581354108,829.3219712132561,50.0,40.0,45.0,35.0
3,0,83.25557912792551,57.03853203267336,74.37330571142758,50.72266952902477,0.0,5.0,0.0,0.0
3,25000,136.54294574825167,248.9797122881946,297.96575799287604,97.63732451748925,0.0,10.0,35.0,0.0
