seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,14.702524672582587,26.822810791539712,20.53157281732181,19.766942699819122,0.0,0.0,0.0,0.0
1,25000,530.1943343716293,589.5704379393202,321.18909772872973,510.29874071392305,10.0,15.0,5.0,25.0
1,50000,701.1141691035508,493.6920003659649,449.51059577750647,504.8339396220501,5.0,0.0,0.0,5.0
1,75000,637.8145736348202,1093.5082229328311,1125.8848781708575,773.7356256403284,15.0,40.0,20.0,25.0
1,100000,954.0534851833603,626.7142014842309,893.7892115871089,692.9531594206653,10.0,10.0,10.0,10.0
1,125000,739.5684114563835,735.1549253097277,1143.0524967237377,938.280993625227,10.0,15.0,15.0,20.0
1,150000,1075.44062546264,711.1632264408661,1153.7410132420703,868.5106232787864,45.0,25.0,45.0,35.0
1,175000,935.4577070022385,893.3431629795153,796.5595428314919,833.0261954945503,50.0,40.0,40.0,25.0
1,200000,1072.2845024263604,1013.795257650963,877.538097322169,1211.9621546268265,60.0,55.00000000000001,45.0,65.0
1,225000,947.7856112787804,1225.015928078025,591.8449496858198,1195.5121755294658,40.0,65.0,20.0,60.0
1,250000,1202.9006447159227,1156.8255916518135,1325.744752498867,1165.2220724846366,60.0,55.00000000000001,70.0,65.0
1,275000,1275.2318066715186,1318.5677747587017,1272.2465357616627,1387.416914574536,65.0,60.0,65.0,70.0
1,300000,1297.1148527621378,1314.0751403798351,1072.9672796869077,1070.0822816214759,70.0,75.0,60.0,60.0
1,325000,1268.992604854338,1134.7058687059493,1147.410149802067,1018.5965239857981,70.0,65.0,60.0,60.0
1,350000,1169.0154973275178,1535.847548439252,1309.937146430247,1125.598361504903,70.0,90.0,75.0,65.0
1,375000,1268.5095933877076,1305.8314090218737,1373.436863530289,1363.3295852659908,70.0,75.0,80.0,80.0
1,400000,1207.360829333278,1371.2174435915838,1217.5903496775734,1313.79445315493,65.0,80.0,70.0,75.0
1,425000,1485.841524747781,1531.6668284861614,1429.3646875764216,1653.1030899470127,85.0,90.0,80.0,95.0
1,450000,1640.597927717516,1627.4315482943969,1283.2704057358849,1341.840944293458,95.0,95.0,70.0,75.0
1,475000,1533.5869402462563,1480.2027792706763,1296.8183102023763,1445.305461406686,90.0,85.0,70.0,85.0
1,500000,1499.367373629941,1383.1688077337944,1400.902206790087,1726.219609725957,85.0,80.0,80.0,100.0
2,0,11.382341573834402,15.449111734548296,18.857968121527527,16.461217247242242,0.0,0.0,0.0,0.0
2,25000,270.04796509173514,23.810433672986765,105.84572179435727,95.43635920544165,15.0,0.0,5.0,5.0
2,50000,435.68196439622363,266.7194604409045,259.0770794198436,181.12998422597147,25.0,15.0,15.0,10.0
2,75000,203.04497596794687,516.6134632277461,264.18583751662175,184.52769995356704,10.0,30.0,15.0,10.0
2,100000,367.39891486552926,453.56242007618505,278.23333553824494,354.39063156403057,20.0,25.0,15.0,20.0
2,125000,220.5188801292622,223.09301503239536,531.3476356921491,612.3876356595592,10.0,10.0,35.0,35.0
2,150000,732.0133152217361,700.782413477598,686.166313164547,749.8812438322847,45.0,45.0,40.0,45.0
2,175000,764.3557831097112,1061.5460847003949,845.0734734339443,1050.7613451927386,45.0,65.0,50.0,65.0
2,200000,980.1702687782739,689.6937152026162,1012.9989516763286,957.6290609116392,60.0,40.0,60.0,60.0
2,225000,892.8822514311632,814.2653686331256,830.8477791662583,619.7279927143924,55.00000000000001,50.0,50.0,35.0
2,250000,348.44018734705844,902.045109970848,591.1862691155585,763.1903065085111,20.0,55.00000000000001,40.0,55.00000000000001
2,275000,693.5803668746837,614.9642529329589,559.0717129183679,679.5328589753319,40.0,35.0,35.0,40.0
2,300000,527.0092057823945,396.5842548681663,791.5338483254083,458.50919547013166,30.0,20.0,45.0,25.0
2,325000,1157.8697555313004,1020.020274187151,626.9538226480338,1009.2229928411765,70.0,60.0,35.0,60.0
2,350000,1138.1046917512529,999.2231752097902,1274.8507922372937,1070.7553133867477,70.0,60.0,80.0,65.0
2,375000,997.7813807044577,1133.4701464219006,983.3755408326754,1015.5321152148357,60.0,70.0,60.0,60.0
2,400000,852.563219283853,1227.3177374087193,1025.778220607163,1094.8328060894046,50.0,75.0,60.0,65.0
2,425000,1179.010606117911,1249.724359098453,1229.0567651327988,995.9954380588215,75.0,75.0,75.0,65.0
2,450000,1188.8204478880184,1211.634852066293,1302.6351632992316,1172.7938870726953,70.0,75.0,80.0,70.0
2,475000,868.2741870490397,1129.599760930191,934.775909735163,790.3985674590397,50.0,70.0,55.00000000000001,50.0
2,500000,778.9771454310244,1000.9566653816106,862.8287748567005,899.6304736539207,45.0,60.0,50.0,55.00000000000001
3,0,91.59943043205483,97.99820642784823,102.6766446884271,100.36211035406185,0.0,0.0,0.0,0.0
3,25000,195.26527487957281,182.9335086861749,113.38560025715321,156.78749131956403,0.0,0.0,0.0,0.0
3,50000,301.62003262611285,294.7467372183251,292.73919606067733,283.68505848567594,0.0,0.0,0.0,0.0
3,75000,367.4496984037156,276.18014365179874,353.472556031281,367.30307013069813,0.0,0.0,0.0,0.0
3,100000,1072.4264945242858,1212.8814016609479,772.5089361255976,1034.3780053328926,40.0,70.0,25.0,50.0
3,125000,1106.2432894374435,1022.1280543849296,1305.0253084859974,1083.271111989324,60.0,50.0,70.0,60.0
3,150000,1510.1453364136992,1417.130817146171,991.9948994519403,1533.9979159041538,80.0,80.0,50.0,90.0
3,175000,781.9153517735895,1069.5711769253016,1366.422251660638,1070.0644774754999,40.0,55.00000000000001,75.0,60.0
3,200000,1062.4335152379513,1005.2660252176487,1308.6200109148417,1156.4310592188585,55.00000000000001,55.00000000000001,70.0,60.0
3,225000,782.3011644918749,1472.024800149994,1581.9989267893216,1701.314587799266,35.0,80.0,90.0,95.0
3,250000,1451.552656454885,1605.4792841587273,1385.6139160409857,1537.400537811824,80.0,90.0,80.0,90.0
3,275000,1217.86678885891,1343.0313335390804,1241.350883606899,1486.9289419664224,65.0,75.0,70.0,85.0
3,300000,1580.355449315176,1666.4980930481677,1658.0932539168007,1434.7887188953387,90.0,95.0,95.0,85.0
3,325000,1393.1626945579478,1479.022059203397,1399.4487815414066,1495.7781484689065,80.0,85.0,80.0,85.0
