seed,step,first_reward,third1_reward,third2_reward,first_success,third1_success,third2_success
1,0,7.489106263779104,7.9068623021245,6.801547795906663,5.0,0.0,0.0
1,25000,33.33481857017614,26.619696231556066,13.082872744298772,65.0,55.00000000000001,20.0
1,50000,43.77394528202713,21.838230021788483,27.740735064629394,90.0,40.0,55.00000000000001
1,75000,44.10481170890066,37.892458904115486,29.750094698230576,95.0,75.0,60.0
1,100000,41.92735048199165,36.85297857393194,37.36880188639901,90.0,75.0,80.0
1,125000,40.36780550625676,38.79304654183695,30.38589556207081,85.0,80.0,65.0
1,150000,38.94187824477708,33.87434271063016,33.531720480198956,85.0,65.0,65.0
1,175000,40.23530343944979,41.687111518532035,39.538585989667254,85.0,90.0,80.0
1,200000,44.27468488663435,37.87352147882724,34.0204927115084,95.0,80.0,70.0
1,225000,42.04034014574331,40.76041990555823,27.356234043126165,90.0,85.0,50.0
1,250000,45.82162031233311,41.68555729583213,38.016651388444004,95.0,90.0,80.0
1,275000,44.094839626658924,44.02758560068905,36.34324276517464,95.0,95.0,75.0
1,300000,46.10051506720483,37.3040294139646,38.89907445790571,100.0,75.0,85.0
1,325000,44.31484121698886,39.88474629838779,38.79687587749213,95.0,85.0,80.0
1,350000,41.93004111640754,42.4613517632708,38.39492725916207,90.0,90.0,80.0
1,375000,44.62865772843361,44.772120548784734,35.10702967828922,95.0,95.0,70.0
1,400000,46.10255010575056,43.61776239051865,40.356778082530944,100.0,95.0,85.0
1,425000,41.99289034397812,41.88413222620997,37.27057938151993,90.0,90.0,75.0
1,450000,46.22011069059372,40.54380126409232,40.25963083346842,100.0,85.0,85.0
1,475000,44.236674446630964,46.03707688786089,40.455181991495195,95.0,100.0,85.0
1,500000,42.05234036140799,44.093113294616344,40.3619294108823,85.0,95.0,85.0
2,0,1.685790651582647,1.5364094997989013,1.815493345167488,0.0,0.0,0.0
2,25000,22.38501066378577,26.590583077215342,33.83750739481202,40.0,50.0,70.0
2,50000,38.90915588226147,30.422752496204584,26.755620339447223,80.0,60.0,50.0
2,75000,44.55083585418761,36.7405399672687,32.26591106428568,95.0,75.0,65.0
2,100000,45.349372705444694,38.53680558067563,39.89374325638637,90.0,80.0,85.0
2,125000,44.97281439639628,41.890920313447715,39.24165688745925,95.0,90.0,85.0
2,150000,44.16348692944187,36.314599767959805,41.399560848996046,95.0,75.0,90.0
2,175000,44.033903522619575,33.76263479528329,34.60352697703056,95.0,65.0,70.0
2,200000,41.55978131605205,38.3904745623196,36.9109446737916,85.0,80.0,80.0
2,225000,41.24486623001553,34.47228981469791,32.90744900063299,85.0,65.0,65.0
2,250000,41.68534823227674,37.53738675988931,39.63308997863141,80.0,85.0,85.0
2,275000,40.226884158254805,38.3543315692739,45.48688447624445,85.0,80.0,100.0
2,300000,43.25910263476447,40.97421680092812,42.03962164344266,90.0,85.0,90.0
2,325000,43.97998674982763,36.24773670579177,43.878587656095625,95.0,75.0,95.0
2,350000,41.563430719137315,37.034876301056315,40.80581093782566,90.0,80.0,85.0
2,375000,46.41321609318256,42.24400269597658,37.59539622454491,100.0,90.0,75.0
2,400000,44.57304833568632,45.92225128300488,39.68765922276063,95.0,100.0,80.0
2,425000,46.22172441594303,43.12352145723999,37.23133375678786,100.0,90.0,80.0
2,450000,46.1785699699074,43.674910025546396,39.721877460352246,100.0,95.0,80.0
2,475000,46.14267184212804,39.002669333185985,41.84313807393603,100.0,80.0,90.0
2,500000,45.42735342979431,37.25551527035528,32.731126742199926,95.0,80.0,65.0
3,0,3.0594435285776855,3.534995411708951,3.49441140005365,0.0,0.0,0.0
3,25000,40.35488516867063,20.93938576153278,36.76146542206406,90.0,40.0,80.0
3,50000,42.58294062390924,30.717062250369697,41.64969818536192,90.0,65.0,90.0
3,75000,45.58863314688206,39.60377728688472,39.43591530956328,95.0,85.0,75.0
3,100000,37.88428464952168,41.510910378125274,40.154265026571906,80.0,90.0,85.0
3,125000,42.78307761680335,36.02608810830575,38.58112854734063,90.0,75.0,80.0
3,150000,43.62056026272476,41.85182848931805,38.37081295390963,95.0,90.0,80.0
3,175000,44.36315362267196,38.432354377651556,38.6886088195944,95.0,80.0,80.0
3,200000,39.941278633116866,44.582099670171736,42.96989978440106,80.0,95.0,95.0
3,225000,46.285891079157594,43.98443875014782,39.798580951715145,100.0,95.0,85.0
3,250000,42.42817002437077,43.7218706046023,44.10247948244214,90.0,95.0,95.0
3,275000,43.84182128404552,45.72804939821363,42.59147681966424,95.0,100.0,90.0
3,300000,41.932661252137066,42.831387319788334,34.18909528908303,90.0,90.0,65.0
3,325000,42.03104369842809,40.862507227621975,45.88822236470878,85.0,85.0,100.0
3,350000,45.888070517405865,40.044237220766306,45.519182812422514,100.0,85.0,100.0
3,375000,44.205340892618906,41.99481919787322,44.182367485389115,95.0,90.0,95.0
3,400000,46.22706075496971,41.72468321207536,35.65045735935241,100.0,90.0,75.0
3,425000,44.20564455941106,40.48740555422502,45.77754115574062,95.0,85.0,100.0
3,450000,46.37773911468685,44.268254238320516,44.10645795747358,100.0,95.0,95.0
3,475000,46.25115375779569,40.05735029023318,44.012491485365935,100.0,85.0,95.0
3,500000,45.34138951450586,46.067145098745826,43.43953310960862,95.0,100.0,95.0
4,0,4.663684454094619,5.574690117128194,4.7794287744909525,0.0,0.0,0.0
4,25000,24.050985757850007,16.616836702359628,31.523832511065887,45.0,30.0,65.0
4,50000,36.79362295192325,19.365846746032467,30.828624250377032,75.0,35.0,60.0
4,75000,37.51767109572212,25.888436384082166,39.758165900222956,80.0,50.0,80.0
4,100000,43.5713025489822,35.12204992953515,39.46899727484286,95.0,75.0,80.0
4,125000,44.013926166761664,36.083726074475535,36.05773752264732,95.0,70.0,75.0
4,150000,41.918133414674216,35.19612164372387,37.4186093660599,90.0,70.0,80.0
4,175000,42.09232366909116,38.14234990673755,43.944893137738106,90.0,75.0,95.0
4,200000,42.642405781325394,39.63736103058928,38.03609149249881,90.0,85.0,80.0
4,225000,44.431867906451224,39.90306853149482,43.582466184347865,95.0,80.0,90.0
4,250000,43.22369923731312,44.26812438815832,43.993156287632885,90.0,95.0,95.0
4,275000,46.19593663997948,37.28452377699585,39.51191756171724,100.0,80.0,85.0
4,300000,43.41625373715249,42.111174277961254,38.84551954951603,90.0,90.0,80.0
4,325000,44.480403228104116,39.54713399865417,38.329896552076534,95.0,85.0,80.0
