seed,step,first_reward,third1_reward,third2_reward,first_success,third1_success,third2_success
1,0,6.123252646493759,7.382825453793541,12.802070854618915,0.0,0.0,0.0
1,25000,609.7965392297898,0.851534718315085,142.036221865997,0.0,0.0,0.0
1,50000,1486.0507229855843,589.9498678715449,832.0475117489625,85.0,0.0,0.0
1,75000,1541.0252706701283,1039.6357006517098,1501.7715423602824,100.0,0.0,100.0
1,100000,1526.2533503090635,1119.141807616966,1418.22774475528,100.0,40.0,75.0
1,125000,1563.5826563752466,1186.8272296258478,1410.1301744988925,100.0,45.0,80.0
1,150000,1540.704618805153,1398.8054937423099,1222.691275517836,100.0,85.0,55.00000000000001
1,175000,1575.4505623998498,1460.721269676802,1465.6292414313589,100.0,95.0,80.0
1,200000,1571.4363411552906,1226.953011271789,1439.2613423968771,100.0,30.0,80.0
1,225000,1582.687636643914,1194.612968974865,1486.6151005345387,100.0,40.0,90.0
1,250000,1594.0954664805702,1527.3605433003538,1426.5832663901604,100.0,100.0,85.0
1,275000,1555.1840970996338,1532.0942739131538,1439.9658838468708,100.0,100.0,90.0
1,300000,1587.5256251107353,1267.7286223154179,1369.3664281113665,100.0,40.0,75.0
1,325000,1475.2603435565252,1513.6610772432377,1480.7095887583978,95.0,100.0,90.0
1,350000,1580.6658159097585,1485.797182201409,1538.56931231328,100.0,95.0,100.0
1,375000,1581.7894877533627,1513.0657387792212,1490.2316477235297,100.0,95.0,95.0
1,400000,1596.20252810399,1552.4325114585686,1475.7899005840804,100.0,100.0,100.0
1,425000,1591.2511433713228,1454.3521696974817,1470.0519222209318,100.0,90.0,90.0
1,450000,1609.3086301409548,1423.1908369767839,1459.578866499583,100.0,90.0,85.0
1,475000,1605.683468200226,1553.153957119842,1470.3525822726947,100.0,100.0,95.0
1,500000,1612.3198603640953,1360.975741797065,1516.928113086578,100.0,80.0,100.0
2,0,2.8918334542547166,2.3890375238349137,1.5494569314901507,0.0,0.0,0.0
2,25000,782.1037612347175,41.45685015675224,28.4294985402054,5.0,0.0,0.0
2,50000,1535.8322741824127,1001.8582051027657,979.3091670674952,100.0,5.0,35.0
2,75000,1571.8720641668685,1156.978530228216,1355.7803375103094,100.0,70.0,70.0
2,100000,1590.7996025860805,1443.0624536480543,1357.287945587369,100.0,100.0,60.0
2,125000,1417.4679682465223,1437.20810281965,1507.3915905520241,70.0,100.0,100.0
2,150000,1530.5995532994036,1518.583003267649,1452.9738760931036,100.0,100.0,90.0
2,175000,1582.0420599312838,1234.8146094287013,1483.948929516817,95.0,45.0,80.0
2,200000,1595.2620642574316,1396.9911385491898,1330.350176304297,100.0,95.0,80.0
2,225000,1594.3580521843448,1384.2525232807138,1128.4491150219949,100.0,90.0,50.0
2,250000,1586.7292151734514,1285.285034987956,1410.7287354919665,100.0,95.0,90.0
2,275000,1583.1748124648443,1247.5754536318739,1364.6111341015637,100.0,85.0,95.0
2,300000,1368.2845819013642,1491.1944041468103,1329.0593491994375,75.0,100.0,90.0
2,325000,1573.857125296861,1429.4088418804195,1470.7319447341436,100.0,90.0,80.0
2,350000,1579.4401206991001,1518.6782788886906,1525.038178471203,100.0,100.0,95.0
2,375000,1596.4542062242253,1319.599111745077,1533.8652105599554,100.0,90.0,100.0
2,400000,1489.4387279482708,1527.544142945721,1514.6993514780097,90.0,100.0,90.0
2,425000,1612.2315357826553,1477.125347699673,1494.6810971560255,100.0,95.0,95.0
2,450000,1601.13405009619,1506.4889138888454,1492.3381578213935,80.0,85.0,95.0
2,475000,1538.6279577307685,1568.3094387309695,1440.0043234450675,90.0,100.0,95.0
