seed,step,first_reward,third1_reward,third2_reward,first_success,third1_success,third2_success
1,0,10.55725207122691,9.936728216553393,13.527524297740067,0.0,0.0,0.0
1,25000,1550.3465570492942,162.2873726394485,354.1203875001109,40.0,10.0,0.0
1,50000,1709.6134880885788,20.073953919584177,413.3759474227621,70.0,0.0,0.0
1,75000,1732.717082031637,71.10771393910576,647.8001963446154,90.0,0.0,0.0
1,100000,1487.4681644641012,25.36116308984415,746.4124550061858,75.0,0.0,0.0
1,125000,1753.0751366458785,157.09006841783028,906.6544843804235,90.0,5.0,0.0
1,150000,1773.1268563017197,436.0927229248,976.6476974204794,100.0,25.0,0.0
1,175000,1759.809460102782,333.62233949123885,1109.1122529766874,100.0,15.0,0.0
1,200000,1763.1128043858675,415.17426946114756,1198.3356570861067,100.0,20.0,0.0
1,225000,1688.6646590586074,428.40789535334187,1266.8706469886897,95.0,15.0,10.0
1,250000,1768.25549319579,762.0414190613761,1120.7452004402346,100.0,40.0,0.0
1,275000,1766.6054356245459,596.9331351942712,1265.7491543267286,100.0,30.0,0.0
1,300000,1765.711854686547,609.419536606468,1283.27765115545,95.0,25.0,0.0
1,325000,1768.9796684629575,801.5555540612529,1357.7297764352327,95.0,30.0,5.0
1,350000,1773.0500405141433,706.0881168399675,1485.0748038489905,100.0,35.0,5.0
1,375000,1773.1800097913274,847.3247045572662,1302.6084419676897,100.0,40.0,20.0
1,400000,1751.823139728343,1030.7687570508992,1139.6228072478496,90.0,60.0,10.0
1,425000,1759.3550770431277,748.499766175066,1301.0744726970604,100.0,35.0,10.0
1,450000,1779.6708014278265,1071.0959954972225,1507.7494696642595,100.0,60.0,10.0
1,475000,1773.3373689124323,1152.9840477005268,1637.3751088689828,100.0,70.0,25.0
1,500000,1774.7539010333453,804.7776027586056,1539.421843679878,100.0,40.0,25.0
2,0,5.483430923614814,7.415795579274267,5.828210177747307,0.0,0.0,0.0
2,25000,1276.8035660731566,65.08256534818045,36.63426231950253,50.0,0.0,0.0
2,50000,1571.7225659711148,385.3079680382113,84.63164785364924,80.0,25.0,5.0
2,75000,1722.0024292223006,88.49227480422863,422.6028218254818,95.0,0.0,0.0
2,100000,1731.163813179725,243.44144123814945,576.9071781032254,95.0,15.0,0.0
2,125000,1776.2102367169991,459.5524522761524,1085.765102256825,100.0,25.0,0.0
2,150000,1759.673057532046,370.1984962485361,1167.4921693202318,100.0,10.0,0.0
2,175000,1755.914599634137,477.84417887810804,1079.729388977586,100.0,25.0,15.0
2,200000,1772.2907820008302,449.33339257303544,1284.0693911633755,100.0,35.0,0.0
2,225000,1763.99314298696,513.343676845898,1360.618864125067,100.0,35.0,30.0
2,250000,1774.1995147926307,991.7937115579623,1433.5337653170338,100.0,45.0,30.0
2,275000,1771.008617839291,855.3685299272527,1558.9274823247872,100.0,55.00000000000001,55.00000000000001
2,300000,1732.7225782604128,645.5041959321803,1630.3524794981336,95.0,30.0,65.0
2,325000,1674.9975807197036,1045.0915149863256,1592.720166429935,90.0,60.0,50.0
2,350000,1773.2129615516114,875.8954455208034,1674.6812398604227,100.0,60.0,65.0
2,375000,1782.3910672252,862.0693102230922,1630.5851044285198,90.0,50.0,65.0
2,400000,1783.3719331116804,1060.3001125505366,1467.0448825154326,95.0,60.0,55.00000000000001
2,425000,1752.5837390574502,1040.937716858362,1647.667699913022,95.0,60.0,80.0
2,450000,1733.356189896184,982.3084669207168,1687.3739722487167,100.0,60.0,75.0
2,475000,1777.9472956731588,1102.9754648602889,1657.3950860128425,100.0,70.0,80.0
2,500000,1772.3622733184807,1322.8700528638763,1708.350191133183,100.0,80.0,90.0
3,0,15.676862689084444,22.103258856198103,24.929397020100534,0.0,0.0,0.0
3,25000,1503.305360431154,66.48783068150358,200.67713493611288,40.0,0.0,0.0
3,50000,1566.2441687704154,544.1771614701743,472.5848203868577,80.0,0.0,0.0
3,75000,1708.1246249775656,863.2012104821486,923.8019159968808,90.0,20.0,0.0
3,100000,1728.0895795399088,1254.418294513842,1228.3969013554474,95.0,30.0,10.0
3,125000,1768.6416261406357,1215.0284085514147,1304.3239662362296,100.0,40.0,15.0
3,150000,1750.882018426732,1363.6692839087,1410.3958828770678,100.0,25.0,55.00000000000001
3,175000,1759.0535734449309,1464.0005347126607,1299.6875832808244,95.0,30.0,5.0
3,200000,1773.4223722654126,1537.2635962224483,1555.2222808912752,100.0,75.0,55.00000000000001
3,225000,1772.9684209517739,1509.6407579885574,1724.4875542676905,95.0,65.0,75.0
3,250000,1750.496243600663,1497.1522744628555,1688.483401576124,85.0,60.0,75.0
3,275000,1766.2430892391026,1629.1099673149067,1642.4588921948823,100.0,70.0,80.0
3,300000,1753.1214941323633,1547.2035744102611,1666.9959332405094,90.0,70.0,65.0
3,325000,1781.867623111061,1693.8860688028585,1645.2032064266364,100.0,90.0,85.0
3,350000,1783.2786333995514,1687.353048245647,1721.586713188712,100.0,95.0,75.0
3,375000,1781.0157320946205,1643.2023008615702,1701.6633788201223,100.0,70.0,90.0
3,400000,1774.5915691044836,1718.6826297362009,1664.1667911625857,100.0,85.0,70.0
3,425000,1749.6584124834662,1720.7813268455207,1747.4836679485475,100.0,100.0,100.0
