seed,step,first_reward,third1_reward,third2_reward,first_success,third1_success,third2_success
1,0,3.1427983071077255,2.5295299197986707,2.3208982579604642,0.0,0.0,0.0
1,25000,351.65967960775646,25.036740128389976,38.440195172068684,0.0,0.0,0.0
1,50000,1247.6743640287427,51.97830458451408,283.7721558504408,0.0,0.0,0.0
1,75000,1060.9433698036019,80.50790570407288,292.6250908578337,20.0,0.0,0.0
1,100000,1480.2858971408205,142.24279736268156,397.29381193142643,50.0,0.0,0.0
1,125000,1514.4489523999584,199.8242633479618,368.04915109260844,60.0,0.0,0.0
1,150000,1472.8647134445246,247.88482309191636,905.4585000499717,45.0,0.0,0.0
1,175000,1490.8413837863968,349.160266686477,1035.329344454635,35.0,0.0,0.0
1,200000,1435.6878727007875,403.21429319275967,1146.3181925240715,55.00000000000001,0.0,0.0
1,225000,1505.5237737257391,602.8295057484307,838.3361767607385,40.0,0.0,0.0
1,250000,1527.3037376100117,645.5228081098719,1161.9986490660606,50.0,0.0,0.0
1,275000,1557.3255704645032,574.4936788992375,960.6160542297824,75.0,0.0,0.0
1,300000,1516.9597533227015,967.5518489382057,1118.5041764421799,50.0,0.0,0.0
1,325000,1500.1426961933394,1061.9286787976137,1012.3112628982202,60.0,0.0,0.0
1,350000,1481.9509709913298,1160.5401763339391,1238.0460506653626,80.0,0.0,0.0
1,375000,1549.251118459259,1198.8759474813419,1127.929318971091,65.0,0.0,0.0
1,400000,1542.8933316525513,1214.0168394551185,1205.11314390769,55.00000000000001,0.0,0.0
1,425000,1497.981315038733,1193.4929197407157,1292.6158589708496,65.0,0.0,0.0
1,450000,1568.818310981809,1155.3234821568778,1270.8957751927933,75.0,0.0,0.0
1,475000,1558.6244636675558,1235.6133733162367,1257.2614617698289,70.0,5.0,0.0
1,500000,1489.5422504351168,1241.6358110002407,1240.760505165439,45.0,0.0,0.0
2,0,1.4955981353936356,4.20261016281882,3.424037244098946,0.0,0.0,0.0
2,25000,134.6994444043924,10.136872139513894,14.083648779559528,0.0,0.0,0.0
2,50000,285.3808657668063,9.10358149805163,57.68224011882413,0.0,0.0,0.0
2,75000,927.3542789027272,22.59473639380257,221.21972693133594,0.0,0.0,0.0
2,100000,1204.4602139177398,84.0911011411674,315.06229855416916,0.0,0.0,0.0
2,125000,1266.955169152096,105.65264764102997,332.2684649647934,0.0,0.0,0.0
2,150000,1300.3677090257881,120.59892529003189,500.1023433982653,0.0,0.0,0.0
2,175000,1297.6815368484963,187.65879479405746,651.6047955439237,0.0,0.0,0.0
2,200000,1297.9690544855985,160.94700911221156,828.7080567307592,0.0,0.0,0.0
2,225000,1330.0348679557549,227.65675916525774,926.0305466630932,0.0,0.0,0.0
2,250000,864.132258816124,210.18004266610228,1061.3807133226946,0.0,0.0,0.0
2,275000,1318.5135555715447,233.9519015759905,1133.2450527829037,0.0,0.0,5.0
2,300000,1339.723957899208,268.97232569249087,962.2069905616918,0.0,0.0,0.0
2,325000,1358.5465800866675,241.65537114381922,797.9360391983312,0.0,0.0,0.0
2,350000,1342.6493593305556,276.70503856795574,982.5808445718894,0.0,0.0,0.0
2,375000,1359.659436799861,275.4078203903391,969.5378140188222,0.0,0.0,0.0
2,400000,1327.7724053335457,250.9813456042667,1061.127085125494,0.0,0.0,0.0
2,425000,1377.2138496030284,187.9844268722316,1288.8685369712148,0.0,0.0,5.0
2,450000,1372.7574483724825,238.7693864250331,1115.4124027921512,0.0,0.0,0.0
2,475000,1358.0295852667061,199.96535910056738,1325.4694670291565,0.0,0.0,10.0
2,500000,1372.0405480704044,243.42687132648462,1299.9874138236216,0.0,0.0,0.0
3,0,5.955958844002949,6.593779694451667,5.314638013928783,0.0,0.0,0.0
3,25000,593.6816472300118,6.263416771748561,29.991026646577815,0.0,0.0,0.0
3,50000,1008.3182637291872,4.478519266726894,122.98679540106343,0.0,0.0,0.0
3,75000,1073.4588650062674,5.695405828804679,132.96003156647893,0.0,0.0,0.0
3,100000,1077.1661929033394,6.575347575859456,112.32279036944661,0.0,0.0,0.0
3,125000,1062.066631313566,18.533071425020026,118.21290602734878,0.0,0.0,0.0
3,150000,1017.2754960962809,15.164291749284377,164.95532497920254,0.0,0.0,0.0
3,175000,1232.7419113497428,9.141281752226737,303.10822008904165,0.0,0.0,0.0
3,200000,1347.9624139922043,7.136111035491081,493.16786638058664,0.0,0.0,0.0
3,225000,1288.2235284036828,10.598558991893935,834.1376767225809,0.0,0.0,0.0
3,250000,1341.8816389186873,10.850012919258283,1123.6197451257021,0.0,0.0,0.0
3,275000,1322.137371126021,11.527349451868277,1120.2587066438787,0.0,0.0,0.0
3,300000,1284.854510736735,10.766134657982127,1234.8444200353413,0.0,0.0,0.0
3,325000,1346.6703189675493,8.37878394779425,1227.943111185919,0.0,0.0,5.0
3,350000,1362.225375824491,9.381763230942461,1235.0696063374994,0.0,0.0,15.0
3,375000,1347.5872864417215,13.74705196999177,1274.376126810355,0.0,0.0,10.0
3,400000,1344.7800922186143,30.187122031860905,1259.694511928847,0.0,0.0,0.0
3,425000,1323.6220366206687,30.636543269791265,1196.6349005392672,0.0,0.0,25.0
3,450000,1369.250131704272,73.96483030156108,1162.1505346325166,0.0,0.0,10.0
3,475000,1356.9899184650499,47.149444356929564,1230.813305900658,0.0,0.0,65.0
3,500000,1363.0750290457756,46.18705549553798,1282.3212556054314,0.0,0.0,5.0
4,0,5.191183928791526,5.581389023598243,5.7537027727532,0.0,0.0,0.0
4,25000,438.3035483081732,9.119284131575812,7.829454767952173,0.0,0.0,0.0
4,50000,965.1891747099453,10.882086641978415,8.390459324087486,0.0,0.0,0.0
4,75000,969.1107327580933,12.479192455414204,19.019543077973417,0.0,0.0,0.0
4,100000,1054.8358576602914,7.512195751146264,17.54118471856625,0.0,0.0,0.0
4,125000,1100.5778995819212,11.112396436915946,7.67218061067049,0.0,0.0,0.0
4,150000,1182.847973081406,13.79059649974298,50.598557425477836,0.0,0.0,0.0
4,175000,1315.6172109809245,21.543885526236192,69.56551405131559,0.0,0.0,0.0
4,200000,1344.7607579642015,9.72531464005831,123.6599427970132,0.0,0.0,0.0
4,225000,1349.1672511168267,37.076835992397235,149.1906556280046,0.0,0.0,0.0
4,250000,1280.4905254870948,99.68068749750098,130.98174986406173,0.0,0.0,0.0
4,275000,1350.1210305205825,120.60634961653393,155.4027935738649,0.0,0.0,0.0
4,300000,1335.0516754606865,123.13226710370671,156.08211122238222,0.0,0.0,0.0
4,325000,1353.576177463797,201.8197466958727,187.03517539879232,0.0,0.0,0.0
4,350000,1343.3242722040482,320.1325407171243,241.78460319402308,0.0,0.0,0.0
4,375000,1345.4340615472256,206.93993490527055,215.65618531540312,0.0,0.0,0.0
4,400000,1360.0941727037443,468.1811690402924,330.3819151515055,0.0,0.0,0.0
4,425000,1352.5840778962306,533.3726790171042,330.2516448169809,0.0,0.0,0.0
4,450000,1309.9286591452476,621.5580717830816,363.77104031553904,0.0,0.0,0.0
4,475000,1365.690080316374,778.1447056634136,513.9080788385645,0.0,0.0,0.0
4,500000,1367.6146171104617,651.4884773314166,497.3805872488371,0.0,5.0,0.0
5,0,6.442933590885856,4.2540907771947225,2.098269680010494,0.0,0.0,0.0
5,25000,283.1354243045802,9.160974325799899,9.141881514728038,0.0,0.0,0.0
5,50000,359.97959582353155,5.954022922940452,70.6934988091224,0.0,0.0,0.0
5,75000,419.29622862254683,216.26577383828777,76.48123222051615,0.0,0.0,0.0
5,100000,1069.6436632419259,247.12199372717456,129.95678311239533,0.0,0.0,0.0
5,125000,1220.6927748558514,330.3987392372704,176.90665770244587,0.0,0.0,0.0
5,150000,1294.943116014172,374.12710571892643,191.23419214933497,0.0,0.0,0.0
5,175000,1304.3286979764614,375.8960243991143,166.44629573919792,0.0,0.0,0.0
5,200000,1341.0767287785422,666.8325378656559,193.28011485118856,0.0,0.0,0.0
5,225000,1322.208138999618,870.019191433463,220.28027053288648,0.0,0.0,0.0
5,250000,1347.5149995998152,814.6267819158304,193.32790150703573,0.0,0.0,0.0
5,275000,1351.5635284958375,1291.741293533645,183.283305195275,0.0,0.0,0.0
5,300000,1331.738590941782,1000.938741564285,229.10724059243012,0.0,0.0,0.0
5,325000,1346.4095328310973,1206.23454177825,258.559339150917,0.0,0.0,0.0
5,350000,1366.5539336986342,1119.146419414336,283.80891952501685,0.0,0.0,0.0
5,375000,1350.824279891888,1297.2774840227903,319.6230578345413,0.0,0.0,0.0
5,400000,1333.3058221173212,1210.1388720462342,250.33621056335824,0.0,0.0,0.0
5,425000,1326.97392719914,1273.3519906974468,465.9749182566212,0.0,0.0,0.0
5,450000,1296.8942472173153,1288.3591906574034,562.7892969801679,0.0,5.0,0.0
5,475000,1359.951474746097,1279.2738246853496,605.179851248702,0.0,0.0,0.0
5,500000,1342.7860734039618,1305.1566384777805,591.2563869586079,0.0,0.0,0.0
