seed,step,first_reward,third1_reward,third2_reward,first_success,third1_success,third2_success
1,0,20.049819125733336,21.679367417722954,33.71864245212218,0.0,0.0,0.0
1,25000,337.7489597735046,493.4779150418302,400.55990121818434,20.0,30.0,0.0
1,50000,560.482811744341,852.3196108493199,992.8803222615225,40.0,45.0,10.0
1,75000,1535.0791105877477,961.0347111362419,1201.507141123527,95.0,60.0,70.0
1,100000,1627.0172333146543,1279.613145470978,1484.1290706823704,100.0,75.0,85.0
1,125000,1483.4541143638821,1408.253480048868,1567.4522318478796,95.0,90.0,90.0
1,150000,1228.2565727965862,1544.2007933593818,1641.8118411121832,75.0,95.0,95.0
1,175000,1476.0749439610245,1590.967898010661,1738.8123768280082,90.0,95.0,100.0
1,200000,1465.4427154171965,1062.4280449648431,1747.3935415898445,90.0,60.0,100.0
1,225000,1345.957315751933,1542.49150784764,1579.584838834048,80.0,95.0,90.0
1,250000,1631.9360485143775,1343.1177637554722,1682.6902137212844,100.0,85.0,95.0
1,275000,1648.2979196707797,1510.9849907998675,1752.6557731381392,100.0,90.0,100.0
1,300000,1571.9190769718657,1471.1978274492628,1745.3618309553829,95.0,90.0,100.0
1,325000,1529.3370979896422,1349.962914410945,1696.6094564378923,95.0,80.0,95.0
1,350000,1527.4308111255343,1526.9270770119733,1762.4556057558846,95.0,90.0,100.0
1,375000,1623.4256092827675,1605.0106454851089,1716.5543616232324,100.0,95.0,100.0
1,400000,1642.9534838992527,1587.015380819183,1744.247312959757,100.0,95.0,95.0
1,425000,1407.6433079526262,1493.5550243933662,1677.6461464216736,85.0,85.0,95.0
1,450000,1630.7290245757404,1580.9589521218038,1761.2970666498986,100.0,90.0,100.0
1,475000,1595.5539117669534,1545.891046179519,1764.4304418438635,95.0,90.0,100.0
1,500000,1464.7521370676684,1502.5745619318236,1751.6085950794145,90.0,85.0,100.0
2,0,14.940728869118663,23.84330706764282,14.261982709578268,0.0,0.0,0.0
2,25000,1220.7571323884697,382.9141500220912,777.3858187769054,70.0,15.0,45.0
2,50000,1506.6599078966167,1112.0572119901353,1364.4056642055343,85.0,60.0,80.0
