seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,2.1820672407455275,2.310263720527291,2.1338145304704086,2.2016855509602467,0.0,0.0,0.0,0.0
1,25000,33.008635115157816,2.753598121344112,6.670136526599526,20.678606128576213,70.0,0.0,0.0,30.0
1,50000,41.212955864169636,4.852826054953039,4.604753979528323,35.26854526298557,90.0,0.0,0.0,75.0
1,75000,29.69556883465848,4.162586028687656,6.656003777869046,33.99315121949185,60.0,0.0,0.0,70.0
1,100000,35.539896297611996,3.455304033611901,6.784945199079812,32.42122242288315,75.0,0.0,0.0,65.0
1,125000,36.12600206248462,4.134530138876289,4.822945163864643,43.69908156022429,75.0,0.0,0.0,95.0
1,150000,41.86481215264648,4.218940390180796,6.604444241151214,36.62854080926627,90.0,0.0,0.0,75.0
1,175000,38.232639560569076,3.142129017692059,6.425502050481737,37.77550480170176,80.0,0.0,0.0,80.0
1,200000,41.85831718789414,1.626204209891148,6.72297189347446,41.182604933809486,90.0,0.0,0.0,85.0
1,225000,40.110695706214756,5.918723274022341,5.0479829769581555,36.826374577358365,85.0,0.0,0.0,75.0
1,250000,41.6094300519675,6.235527080111206,5.984506029821932,38.02766930530779,90.0,0.0,0.0,80.0
1,275000,41.73668436352163,5.350455300882459,5.7704035365954045,38.632529865205285,90.0,0.0,0.0,80.0
1,300000,36.88758298836183,5.217437112051994,6.225086412392557,32.14205310835969,75.0,0.0,0.0,65.0
1,325000,43.771597399702294,6.448364982008934,4.997622350044549,43.482703333441165,95.0,0.0,0.0,95.0
1,350000,36.58667326485738,7.309788402915001,5.064011908508837,38.23802762832493,75.0,0.0,0.0,80.0
1,375000,32.42269780356437,5.897487764433026,5.4458151895552875,41.88510894589126,65.0,0.0,0.0,90.0
1,400000,41.65297612790018,6.586230041831731,5.370812204666436,43.6873316208832,90.0,0.0,0.0,95.0
1,425000,40.061373392678796,6.331180563941598,5.528341918811202,34.44028421267867,85.0,0.0,0.0,70.0
1,450000,36.45206271102652,5.755511489138007,6.442217908613384,43.70215709637851,75.0,0.0,0.0,95.0
1,475000,37.87416325188242,6.7376048538833855,6.50138773303479,43.85131394546479,80.0,0.0,0.0,95.0
1,500000,40.076228205394,5.25168165192008,6.246930748410523,36.872898746846474,85.0,0.0,0.0,75.0
2,0,4.387991765048355,6.251340272836387,4.563204764854163,5.195710170362145,0.0,0.0,0.0,0.0
2,25000,28.110104337707163,1.9698448880575596,7.647392893570941,32.6046068891359,50.0,0.0,0.0,55.00000000000001
2,50000,27.850102576817154,7.218354105111212,7.930185757391155,25.582699997190502,40.0,5.0,0.0,35.0
2,75000,29.821507453423692,2.385510495584458,6.735713878646493,30.66068579783896,60.0,0.0,0.0,60.0
2,100000,36.60941362127196,7.7680551034398375,7.982470162957907,31.724618391203695,75.0,0.0,0.0,60.0
2,125000,40.452225889114196,3.3206877844408154,9.616111126002215,43.807741831894965,85.0,0.0,0.0,95.0
2,150000,39.85104314828059,3.9135400893137557,9.468140545114874,37.86656552004861,85.0,0.0,0.0,80.0
2,175000,31.069369227433345,4.55918307621032,6.8341645412147045,36.37530809997698,60.0,0.0,0.0,75.0
2,200000,41.42147294479655,7.154796377569437,6.784679691120982,37.972888123441955,90.0,0.0,0.0,80.0
2,225000,40.19135107846232,5.535793000786797,7.194788765972712,32.66112258218345,85.0,0.0,0.0,65.0
2,250000,43.308867223537526,7.360115596093237,7.951311396434903,43.803302392095794,95.0,0.0,0.0,95.0
2,275000,41.61593137932941,6.253427716344595,8.118297571875155,39.850326657958796,85.0,0.0,0.0,85.0
2,300000,43.61463295803405,4.850064694322645,7.261642906721681,40.00602705121273,95.0,0.0,0.0,85.0
2,325000,39.92024467136944,4.821535060927272,7.289070478221402,35.56989479510812,80.0,0.0,0.0,75.0
2,350000,40.264716234989464,4.40398993678391,8.923987798765301,39.848931847466154,85.0,0.0,0.0,85.0
2,375000,41.350686718756336,5.380230175144971,7.699432765240384,37.203768230834974,85.0,0.0,0.0,70.0
2,400000,40.071333803189916,4.764807382412255,8.992652582935989,42.038564016576856,85.0,0.0,0.0,90.0
2,425000,40.43333540267777,4.4930370301008224,6.704247785369148,41.75730557800271,85.0,0.0,0.0,90.0
2,450000,44.81681247858796,6.075486944243312,7.8520358205924285,43.0503987015225,95.0,0.0,0.0,90.0
2,475000,41.89055892431643,5.980413042753935,8.08463303135911,41.915729008428755,90.0,0.0,0.0,85.0
2,500000,44.065731880441305,6.018077804706991,7.325660695135594,44.82469675391913,95.0,0.0,0.0,100.0
3,0,3.8546193529851736,2.7872206726111473,4.123072553938255,3.8517140698619188,0.0,0.0,0.0,0.0
3,25000,18.668690633420365,4.567592290788889,3.7881463562138378,23.01432487609418,35.0,0.0,0.0,45.0
3,50000,33.37343319444917,5.386047019809484,4.170731903798878,28.975530861897276,70.0,0.0,0.0,55.00000000000001
3,75000,35.8801248728123,3.341165618505329,5.605784496292472,39.55260980951134,75.0,0.0,5.0,85.0
3,100000,37.26301505123265,2.4487662094645204,6.935505906687854,32.151915371289945,80.0,0.0,0.0,65.0
3,125000,37.34388664241415,5.705091153644025,7.54260514844209,33.89816474217223,80.0,0.0,0.0,70.0
3,150000,41.26707771876827,6.279261909797787,6.266111246170476,35.06275991272268,90.0,0.0,0.0,75.0
3,175000,33.958623544027795,6.298330554738641,8.033834094833583,38.80329141421098,70.0,0.0,5.0,85.0
3,200000,36.37621691665409,8.240799402073026,7.783445926336571,41.554538661637345,70.0,15.0,0.0,90.0
3,225000,37.811468957015315,7.19937384435907,7.3920495881466195,37.769490593019874,80.0,5.0,0.0,80.0
3,250000,41.597710534138606,6.682897926634178,7.657150087691844,37.70118654420221,90.0,0.0,0.0,80.0
3,275000,35.42134285712964,7.084951211139559,9.30519260717556,36.99548755606229,75.0,0.0,0.0,75.0
3,300000,41.97009759742359,5.641008973773569,8.66216114256531,41.58601949037402,90.0,0.0,0.0,85.0
3,325000,35.952342726569626,4.867981273168698,8.00351851223968,32.33213235354924,75.0,0.0,0.0,65.0
3,350000,37.893675248642104,4.974497517198325,8.716270781680942,41.75242239397485,80.0,0.0,0.0,90.0
3,375000,39.95703289308585,6.058842426352203,11.70846510194242,40.26332929139026,85.0,0.0,5.0,85.0
3,400000,37.950761428411354,3.7598053206456825,7.735183546319604,37.87879997040145,80.0,0.0,0.0,80.0
3,425000,43.67373415027978,8.478440391514603,10.159459977969528,43.627684572828,95.0,5.0,0.0,95.0
3,450000,39.79835161492811,6.792852163149332,9.520985872298478,38.055783602781595,85.0,0.0,0.0,80.0
3,475000,43.65819736234844,8.333896108996123,9.123870431166143,43.17385212380905,95.0,0.0,0.0,95.0
3,500000,41.38235926100384,6.339068354988405,6.510554002970457,42.12410085685551,85.0,0.0,0.0,90.0
4,0,4.730926814349369,4.718102611042559,5.622144559957087,6.177618480287492,0.0,0.0,0.0,0.0
4,25000,15.334316951435175,3.860256662592292,5.230503776669503,27.485066234262195,20.0,0.0,0.0,50.0
4,50000,36.079860660247505,5.78810483943671,5.1075087696313854,33.51198124871589,75.0,0.0,0.0,70.0
4,75000,43.38069201633334,5.534957295656204,2.5724220395321025,41.69096446704352,95.0,0.0,0.0,90.0
4,100000,36.341590577118225,6.896356150321663,1.7783244998310692,42.93981283311878,75.0,0.0,0.0,95.0
4,125000,37.93338230357622,5.444905921444297,1.6550899675348774,39.18617277813028,80.0,0.0,0.0,85.0
4,150000,41.65426036529243,5.3249143118038775,4.603419678471982,43.58687655506655,90.0,0.0,0.0,95.0
4,175000,45.642516429722306,3.92678268160671,2.367172667849809,42.69804438184947,100.0,0.0,0.0,95.0
4,200000,45.67257265858352,5.622076505050063,2.332715682592243,45.60702950358391,100.0,0.0,0.0,100.0
4,225000,40.342197735374796,4.015373036451638,1.8872710961848498,38.33442142877029,85.0,0.0,0.0,80.0
4,250000,41.38365662174183,5.69796044100076,1.4137897341744974,39.701480812230145,90.0,0.0,0.0,85.0
4,275000,41.997920961864295,5.450100175477564,1.0525980033446103,43.73579513495788,90.0,0.0,0.0,95.0
4,300000,45.27782950028777,5.003785340394825,2.054453569767065,45.2443998247385,100.0,0.0,0.0,100.0
4,325000,39.37731991028413,3.7858916953206063,2.8042540344409645,43.63516682162881,85.0,0.0,0.0,95.0
4,350000,42.37824027091265,5.217113178409636,1.325100335269235,42.01224656887352,90.0,0.0,0.0,95.0
4,375000,43.409432641603054,3.769038213789463,1.159830990387127,42.18666877343785,95.0,0.0,0.0,90.0
4,400000,44.08522502370179,4.036815191712231,2.5495664056856184,40.252255942695776,95.0,0.0,0.0,85.0
4,425000,45.6483801394701,4.798165187239647,1.125488723278977,39.762234579445796,100.0,0.0,0.0,85.0
4,450000,42.17768726280192,4.514822023920715,0.6572371933900285,40.71665838661138,90.0,0.0,0.0,90.0
4,475000,44.152832217421384,4.360104025155306,1.37229538000538,42.07690069843083,95.0,0.0,0.0,90.0
4,500000,45.36370333395898,5.837947592511773,0.944797970567015,45.612186923995615,100.0,0.0,0.0,100.0
5,0,8.512388443946838,8.08226075861603,7.698455211147666,9.121000699698925,0.0,0.0,0.0,0.0
5,25000,30.9193793065293,8.8210826985538,5.478140868898481,37.103043722664005,60.0,0.0,0.0,75.0
5,50000,35.99237389736809,2.9903483337548096,7.569252235628665,37.91896382754203,75.0,0.0,0.0,80.0
5,75000,37.80462694996968,4.754052582755685,7.565202210471034,37.601422867295334,75.0,0.0,0.0,75.0
5,100000,35.22932079373859,6.276988620939664,6.750523441098631,36.13239253894426,70.0,0.0,0.0,70.0
5,125000,37.671616830443966,4.234426630754024,7.539738864824176,38.019327556621285,75.0,0.0,0.0,80.0
5,150000,41.896768676536155,7.387681907787919,5.827108003012836,32.586039327282926,90.0,0.0,0.0,65.0
5,175000,44.41854409445077,3.511490513943136,4.839172873320058,37.70655039446429,95.0,0.0,0.0,75.0
5,200000,43.710482265107565,2.8653518553357573,3.4554247649386527,42.08936575925909,95.0,0.0,0.0,90.0
5,225000,40.61711003473029,6.070268526487053,5.604687468707562,42.74886444916483,80.0,0.0,0.0,90.0
5,250000,37.74953735570889,3.2426788677461444,5.48957604393363,36.29531993665732,80.0,0.0,0.0,75.0
5,275000,43.74000799828209,3.1407849591225387,5.394381369091571,41.264116486534476,95.0,0.0,0.0,85.0
5,300000,40.507520044827835,4.490163325145841,6.767093447782099,36.254254134418446,85.0,0.0,0.0,75.0
5,325000,40.81346970762534,3.8145110349170865,7.170953120291233,37.664185017207636,85.0,0.0,0.0,75.0
5,350000,40.43651336201939,6.365826821140945,4.595428926032037,44.01017543580383,85.0,0.0,0.0,95.0
5,375000,45.29520448707044,5.221448246017099,6.288075773045421,43.68664147770032,100.0,0.0,0.0,95.0
5,400000,30.617140475421913,4.517648243531585,4.398504037410021,42.39668331705034,60.0,0.0,0.0,90.0
5,425000,43.12523594140075,4.213833452574908,3.5294365990906953,41.23851252850145,90.0,0.0,0.0,85.0
5,450000,41.74421061612666,4.25407354272902,4.055237981956452,37.06618765429594,90.0,0.0,0.0,75.0
5,475000,43.90648560430854,3.505813270621002,5.0731706660240885,45.68262446410954,95.0,0.0,0.0,100.0
5,500000,45.44279689230025,2.5567929267883303,4.5186663499102,45.23084859885275,100.0,0.0,0.0,100.0
