seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,75000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,125000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,175000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,225000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,275000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,300000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,325000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,350000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,375000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,425000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,450000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,475000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50000,420.3557416409246,0.0,0.0,435.36463603817737,0.0,0.0,0.0,0.0
2,75000,555.8807866720164,0.0,0.0,609.7972533114815,0.0,0.0,0.0,0.0
2,100000,859.1090995908502,0.0,0.0,795.4376702615274,0.0,0.0,0.0,0.0
2,125000,839.9872725615699,0.0,0.0,867.1877993353321,0.0,0.0,0.0,0.0
2,150000,1161.3941270040002,0.0,0.0,1144.1628550212151,0.0,0.0,0.0,0.0
2,175000,1260.4350811101826,0.0,0.0,1229.2425911730306,0.0,0.0,0.0,0.0
2,200000,1362.9545335764565,0.0,0.0,1361.0959086459352,40.0,0.0,0.0,35.0
2,225000,1426.182581089291,0.9151070681842903,0.0,1332.779748510403,70.0,0.0,0.0,30.0
2,250000,1496.8144773279544,50.36895762997385,0.0,1418.1933153046934,85.0,0.0,0.0,85.0
