
=== curriculum ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --schedule default_3cam --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/vtmae_curriculum_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/previews
[VTMAE-3CAM] channels=9, views=3, size=(84,84)
[VTMAE-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] MultiViewVST total: 2,240,648 | trainable: 2,240,648
[Params] MultiViewVSMAE total: 4,860,244 | trainable: 4,860,244
[Params breakdown] encoder=2,240,648 decoder=2,367,488 heads=249,804
[100/50000] phase=A total=0.0286 ema=0.2424 recon=0.0286 align=0.0000 v0=0.0218 v1=0.0204 v2=0.0437 visible=0.0286 cross=0.0000 patterns(t/s)=32/0 mask(v0/v1/v2)=0.75/0.75/0.75
[200/50000] phase=A total=0.0218 ema=0.1047 recon=0.0218 align=0.0003 v0=0.0169 v1=0.0190 v2=0.0240 visible=0.0204 cross=0.0017 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[300/50000] phase=A total=0.0179 ema=0.0501 recon=0.0179 align=0.0001 v0=0.0149 v1=0.0175 v2=0.0182 visible=0.0171 cross=0.0010 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[400/50000] phase=A total=0.0159 ema=0.0286 recon=0.0159 align=0.0002 v0=0.0151 v1=0.0151 v2=0.0144 visible=0.0149 cross=0.0010 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[500/50000] phase=A total=0.0149 ema=0.0196 recon=0.0149 align=0.0005 v0=0.0135 v1=0.0131 v2=0.0141 visible=0.0136 cross=0.0013 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[600/50000] phase=A total=0.0123 ema=0.0158 recon=0.0122 align=0.0002 v0=0.0112 v1=0.0123 v2=0.0120 visible=0.0118 cross=0.0004 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[700/50000] phase=A total=0.0122 ema=0.0137 recon=0.0121 align=0.0005 v0=0.0092 v1=0.0115 v2=0.0117 visible=0.0108 cross=0.0013 patterns(t/s)=28/4 mask(v0/v1/v2)=0.75/0.75/0.75
[800/50000] phase=A total=0.0104 ema=0.0125 recon=0.0103 align=0.0006 v0=0.0082 v1=0.0105 v2=0.0103 visible=0.0095 cross=0.0007 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[900/50000] phase=A total=0.0116 ema=0.0115 recon=0.0116 align=0.0001 v0=0.0115 v1=0.0103 v2=0.0117 visible=0.0112 cross=0.0004 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[1000/50000] phase=A total=0.0090 ema=0.0107 recon=0.0090 align=0.0001 v0=0.0091 v1=0.0095 v2=0.0066 visible=0.0083 cross=0.0006 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[1100/50000] phase=A total=0.0103 ema=0.0097 recon=0.0103 align=0.0005 v0=0.0130 v1=0.0078 v2=0.0075 visible=0.0096 cross=0.0008 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[1200/50000] phase=A total=0.0077 ema=0.0089 recon=0.0077 align=0.0000 v0=0.0084 v1=0.0076 v2=0.0061 visible=0.0074 cross=0.0003 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[1300/50000] phase=A total=0.0073 ema=0.0081 recon=0.0073 align=0.0000 v0=0.0115 v1=0.0056 v2=0.0044 visible=0.0071 cross=0.0002 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[1400/50000] phase=A total=0.0061 ema=0.0076 recon=0.0061 align=0.0000 v0=0.0067 v1=0.0053 v2=0.0055 visible=0.0058 cross=0.0003 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[1500/50000] phase=A total=0.0058 ema=0.0068 recon=0.0058 align=0.0001 v0=0.0058 v1=0.0049 v2=0.0048 visible=0.0051 cross=0.0006 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[1600/50000] phase=A total=0.0050 ema=0.0063 recon=0.0050 align=0.0001 v0=0.0060 v1=0.0040 v2=0.0036 visible=0.0045 cross=0.0005 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[1700/50000] phase=A total=0.0051 ema=0.0061 recon=0.0051 align=0.0000 v0=0.0070 v1=0.0042 v2=0.0041 visible=0.0051 cross=0.0000 patterns(t/s)=32/0 mask(v0/v1/v2)=0.75/0.75/0.75
[1800/50000] phase=A total=0.0060 ema=0.0059 recon=0.0059 align=0.0006 v0=0.0080 v1=0.0049 v2=0.0030 visible=0.0052 cross=0.0006 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[1900/50000] phase=A total=0.0052 ema=0.0055 recon=0.0051 align=0.0001 v0=0.0071 v1=0.0047 v2=0.0032 visible=0.0049 cross=0.0002 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[2000/50000] phase=A total=0.0039 ema=0.0051 recon=0.0039 align=0.0001 v0=0.0052 v1=0.0033 v2=0.0024 visible=0.0037 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[2100/50000] phase=A total=0.0053 ema=0.0050 recon=0.0052 align=0.0007 v0=0.0062 v1=0.0051 v2=0.0035 visible=0.0049 cross=0.0003 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[2200/50000] phase=A total=0.0051 ema=0.0049 recon=0.0050 align=0.0005 v0=0.0062 v1=0.0042 v2=0.0033 visible=0.0047 cross=0.0004 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[2300/50000] phase=A total=0.0039 ema=0.0048 recon=0.0039 align=0.0000 v0=0.0056 v1=0.0034 v2=0.0026 visible=0.0039 cross=0.0000 patterns(t/s)=32/0 mask(v0/v1/v2)=0.75/0.75/0.75
[2400/50000] phase=A total=0.0049 ema=0.0044 recon=0.0048 align=0.0006 v0=0.0061 v1=0.0037 v2=0.0033 visible=0.0044 cross=0.0004 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[2500/50000] phase=A total=0.0044 ema=0.0044 recon=0.0043 align=0.0002 v0=0.0043 v1=0.0039 v2=0.0034 visible=0.0040 cross=0.0004 patterns(t/s)=28/4 mask(v0/v1/v2)=0.75/0.75/0.75
[2600/50000] phase=A total=0.0039 ema=0.0043 recon=0.0039 align=0.0001 v0=0.0046 v1=0.0036 v2=0.0027 visible=0.0037 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[2700/50000] phase=A total=0.0036 ema=0.0042 recon=0.0036 align=0.0001 v0=0.0045 v1=0.0032 v2=0.0023 visible=0.0034 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[2800/50000] phase=A total=0.0038 ema=0.0041 recon=0.0036 align=0.0017 v0=0.0042 v1=0.0031 v2=0.0019 visible=0.0029 cross=0.0006 patterns(t/s)=28/4 mask(v0/v1/v2)=0.75/0.75/0.75
