
=== joint ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/joint_20260329_173506/vtmae_joint_distill_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/joint_20260329_173506/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
[JOINT-3CAM] steps=50000 distill_mode=cosine single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0
[100/50000] total=0.0654 ema=0.6442 full=0.0276 single=0.0371 distill=0.0007 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0209 full_v1=0.0202 full_v2=0.0417 single_by_cam[cam0=0.0382 cam1=0.0384 cam2=0.0347] distill_by_cam[cam0=0.0008 cam1=0.0007 cam2=0.0007]
[200/50000] total=0.0424 ema=0.2679 full=0.0179 single=0.0240 distill=0.0005 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0148 full_v1=0.0182 full_v2=0.0208 single_by_cam[cam0=0.0245 cam1=0.0239 cam2=0.0235] distill_by_cam[cam0=0.0004 cam1=0.0006 cam2=0.0004]
[300/50000] total=0.0380 ema=0.1219 full=0.0161 single=0.0215 distill=0.0005 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0152 full_v1=0.0152 full_v2=0.0178 single_by_cam[cam0=0.0216 cam1=0.0217 cam2=0.0211] distill_by_cam[cam0=0.0006 cam1=0.0004 cam2=0.0005]
[400/50000] total=0.0334 ema=0.0658 full=0.0142 single=0.0191 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0143 full_v1=0.0135 full_v2=0.0149 single_by_cam[cam0=0.0190 cam1=0.0192 cam2=0.0191] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[500/50000] total=0.0286 ema=0.0430 full=0.0122 single=0.0163 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0113 full_v1=0.0125 full_v2=0.0127 single_by_cam[cam0=0.0164 cam1=0.0163 cam2=0.0163] distill_by_cam[cam0=0.0001 cam1=0.0000 cam2=0.0001]
[600/50000] total=0.0269 ema=0.0334 full=0.0115 single=0.0154 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0102 full_v1=0.0123 full_v2=0.0120 single_by_cam[cam0=0.0156 cam1=0.0153 cam2=0.0152] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[700/50000] total=0.0238 ema=0.0285 full=0.0101 single=0.0137 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0093 full_v1=0.0116 full_v2=0.0095 single_by_cam[cam0=0.0138 cam1=0.0134 cam2=0.0137] distill_by_cam[cam0=0.0001 cam1=0.0000 cam2=0.0000]
[800/50000] total=0.0208 ema=0.0258 full=0.0089 single=0.0118 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0074 full_v1=0.0110 full_v2=0.0081 single_by_cam[cam0=0.0120 cam1=0.0115 cam2=0.0120] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[900/50000] total=0.0232 ema=0.0235 full=0.0099 single=0.0133 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0118 full_v1=0.0103 full_v2=0.0076 single_by_cam[cam0=0.0130 cam1=0.0132 cam2=0.0137] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1000/50000] total=0.0213 ema=0.0223 full=0.0092 single=0.0121 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0093 full_v1=0.0107 full_v2=0.0075 single_by_cam[cam0=0.0121 cam1=0.0119 cam2=0.0124] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1100/50000] total=0.0197 ema=0.0203 full=0.0084 single=0.0113 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0125 full_v1=0.0080 full_v2=0.0047 single_by_cam[cam0=0.0106 cam1=0.0113 cam2=0.0119] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
