
=== joint_distill_mse ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --distill_mode mse --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/vtmae_joint_distill_mse_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=mse single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0
[100/50000] total=0.0714 ema=0.8124 full=0.0300 single=0.0401 distill=0.0013 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0204 full_v1=0.0388 full_v2=0.0307 single_by_cam[cam0=0.0417 cam1=0.0386 cam2=0.0401] distill_by_cam[cam0=0.0014 cam1=0.0012 cam2=0.0012]
[200/50000] total=0.0424 ema=0.3292 full=0.0172 single=0.0232 distill=0.0021 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0126 full_v1=0.0191 full_v2=0.0199 single_by_cam[cam0=0.0242 cam1=0.0228 cam2=0.0226] distill_by_cam[cam0=0.0023 cam1=0.0020 cam2=0.0019]
[300/50000] total=0.0400 ema=0.1449 full=0.0168 single=0.0226 distill=0.0006 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0151 full_v1=0.0179 full_v2=0.0173 single_by_cam[cam0=0.0227 cam1=0.0224 cam2=0.0228] distill_by_cam[cam0=0.0007 cam1=0.0006 cam2=0.0006]
[400/50000] total=0.0357 ema=0.0757 full=0.0151 single=0.0204 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0143 full_v1=0.0143 full_v2=0.0167 single_by_cam[cam0=0.0205 cam1=0.0204 cam2=0.0202] distill_by_cam[cam0=0.0002 cam1=0.0002 cam2=0.0002]
[500/50000] total=0.0305 ema=0.0476 full=0.0130 single=0.0174 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0117 full_v1=0.0135 full_v2=0.0138 single_by_cam[cam0=0.0175 cam1=0.0174 cam2=0.0171] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[600/50000] total=0.0274 ema=0.0364 full=0.0117 single=0.0157 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0110 full_v1=0.0121 full_v2=0.0120 single_by_cam[cam0=0.0158 cam1=0.0157 cam2=0.0156] distill_by_cam[cam0=0.0001 cam1=0.0000 cam2=0.0000]
[700/50000] total=0.0250 ema=0.0305 full=0.0107 single=0.0142 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0099 full_v1=0.0105 full_v2=0.0115 single_by_cam[cam0=0.0142 cam1=0.0142 cam2=0.0141] distill_by_cam[cam0=0.0002 cam1=0.0001 cam2=0.0001]
[800/50000] total=0.0214 ema=0.0273 full=0.0092 single=0.0122 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0083 full_v1=0.0091 full_v2=0.0102 single_by_cam[cam0=0.0124 cam1=0.0123 cam2=0.0120] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0000]
[900/50000] total=0.0242 ema=0.0246 full=0.0103 single=0.0139 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0118 full_v1=0.0087 full_v2=0.0104 single_by_cam[cam0=0.0136 cam1=0.0141 cam2=0.0139] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[1000/50000] total=0.0193 ema=0.0229 full=0.0082 single=0.0110 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0095 full_v1=0.0065 full_v2=0.0087 single_by_cam[cam0=0.0108 cam1=0.0113 cam2=0.0109] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[1100/50000] total=0.0209 ema=0.0211 full=0.0089 single=0.0119 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0128 full_v1=0.0065 full_v2=0.0073 single_by_cam[cam0=0.0113 cam1=0.0123 cam2=0.0121] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
