
=== joint_distill_mse_high ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --single_recon_weight 1.5 --distill_mode mse --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_w1p5_20260404_233618/vtmae_joint_distill_mse_w1p5_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_w1p5_20260404_233618/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=mse single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.5 distill=1.0
[100/50000] total=0.0894 ema=0.9809 full=0.0294 single=0.0393 distill=0.0011 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0202 full_v1=0.0377 full_v2=0.0302 single_by_cam[cam0=0.0408 cam1=0.0379 cam2=0.0392] distill_by_cam[cam0=0.0012 cam1=0.0011 cam2=0.0011]
[200/50000] total=0.0532 ema=0.3989 full=0.0171 single=0.0230 distill=0.0017 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0122 full_v1=0.0202 full_v2=0.0189 single_by_cam[cam0=0.0238 cam1=0.0224 cam2=0.0227] distill_by_cam[cam0=0.0018 cam1=0.0016 cam2=0.0015]
[300/50000] total=0.0508 ema=0.1768 full=0.0167 single=0.0224 distill=0.0005 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0165 full_v1=0.0167 full_v2=0.0168 single_by_cam[cam0=0.0222 cam1=0.0223 cam2=0.0226] distill_by_cam[cam0=0.0005 cam1=0.0005 cam2=0.0005]
[400/50000] total=0.0445 ema=0.0932 full=0.0147 single=0.0198 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0141 full_v1=0.0141 full_v2=0.0160 single_by_cam[cam0=0.0198 cam1=0.0199 cam2=0.0196] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0002]
[500/50000] total=0.0398 ema=0.0600 full=0.0133 single=0.0177 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0117 full_v1=0.0135 full_v2=0.0146 single_by_cam[cam0=0.0178 cam1=0.0177 cam2=0.0174] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[600/50000] total=0.0345 ema=0.0458 full=0.0115 single=0.0153 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0110 full_v1=0.0113 full_v2=0.0120 single_by_cam[cam0=0.0154 cam1=0.0155 cam2=0.0152] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[700/50000] total=0.0316 ema=0.0384 full=0.0105 single=0.0140 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0100 full_v1=0.0102 full_v2=0.0113 single_by_cam[cam0=0.0140 cam1=0.0141 cam2=0.0138] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[800/50000] total=0.0284 ema=0.0341 full=0.0095 single=0.0126 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0079 full_v1=0.0102 full_v2=0.0104 single_by_cam[cam0=0.0128 cam1=0.0125 cam2=0.0124] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[900/50000] total=0.0296 ema=0.0306 full=0.0098 single=0.0131 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0118 full_v1=0.0079 full_v2=0.0097 single_by_cam[cam0=0.0128 cam1=0.0135 cam2=0.0131] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[1000/50000] total=0.0227 ema=0.0277 full=0.0075 single=0.0100 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0092 full_v1=0.0058 full_v2=0.0075 single_by_cam[cam0=0.0097 cam1=0.0103 cam2=0.0100] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[1100/50000] total=0.0256 ema=0.0268 full=0.0085 single=0.0113 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0127 full_v1=0.0055 full_v2=0.0074 single_by_cam[cam0=0.0106 cam1=0.0119 cam2=0.0115] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[1200/50000] total=0.0224 ema=0.0243 full=0.0074 single=0.0099 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0086 full_v1=0.0055 full_v2=0.0082 single_by_cam[cam0=0.0097 cam1=0.0102 cam2=0.0098] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[1300/50000] total=0.0225 ema=0.0227 full=0.0075 single=0.0099 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0117 full_v1=0.0042 full_v2=0.0066 single_by_cam[cam0=0.0091 cam1=0.0105 cam2=0.0101] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[1400/50000] total=0.0215 ema=0.0222 full=0.0072 single=0.0095 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0071 full_v1=0.0053 full_v2=0.0093 single_by_cam[cam0=0.0095 cam1=0.0099 cam2=0.0092] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1500/50000] total=0.0180 ema=0.0209 full=0.0060 single=0.0080 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0064 full_v1=0.0043 full_v2=0.0071 single_by_cam[cam0=0.0079 cam1=0.0083 cam2=0.0078] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1600/50000] total=0.0158 ema=0.0202 full=0.0052 single=0.0071 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0062 full_v1=0.0036 full_v2=0.0058 single_by_cam[cam0=0.0069 cam1=0.0073 cam2=0.0069] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1700/50000] total=0.0172 ema=0.0201 full=0.0057 single=0.0076 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0079 full_v1=0.0034 full_v2=0.0059 single_by_cam[cam0=0.0073 cam1=0.0080 cam2=0.0076] distill_by_cam[cam0=0.0001 cam1=0.0000 cam2=0.0001]
[1800/50000] total=0.0194 ema=0.0199 full=0.0064 single=0.0086 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0099 full_v1=0.0035 full_v2=0.0058 single_by_cam[cam0=0.0080 cam1=0.0092 cam2=0.0087] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1900/50000] total=0.0180 ema=0.0193 full=0.0060 single=0.0080 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0086 full_v1=0.0034 full_v2=0.0060 single_by_cam[cam0=0.0076 cam1=0.0084 cam2=0.0080] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2000/50000] total=0.0141 ema=0.0184 full=0.0047 single=0.0062 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0068 full_v1=0.0025 full_v2=0.0047 single_by_cam[cam0=0.0059 cam1=0.0066 cam2=0.0062] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2100/50000] total=0.0175 ema=0.0189 full=0.0059 single=0.0078 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0070 full_v1=0.0035 full_v2=0.0071 single_by_cam[cam0=0.0075 cam1=0.0082 cam2=0.0076] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2200/50000] total=0.0194 ema=0.0190 full=0.0065 single=0.0086 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0099 full_v1=0.0036 full_v2=0.0060 single_by_cam[cam0=0.0080 cam1=0.0090 cam2=0.0087] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2300/50000] total=0.0202 ema=0.0187 full=0.0067 single=0.0090 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0120 full_v1=0.0026 full_v2=0.0054 single_by_cam[cam0=0.0080 cam1=0.0096 cam2=0.0092] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2400/50000] total=0.0173 ema=0.0179 full=0.0059 single=0.0076 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0086 full_v1=0.0034 full_v2=0.0057 single_by_cam[cam0=0.0072 cam1=0.0080 cam2=0.0076] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2500/50000] total=0.0192 ema=0.0178 full=0.0064 single=0.0085 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0093 full_v1=0.0033 full_v2=0.0065 single_by_cam[cam0=0.0080 cam1=0.0090 cam2=0.0086] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2600/50000] total=0.0146 ema=0.0179 full=0.0048 single=0.0065 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0068 full_v1=0.0026 full_v2=0.0050 single_by_cam[cam0=0.0062 cam1=0.0068 cam2=0.0065] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2700/50000] total=0.0152 ema=0.0173 full=0.0051 single=0.0067 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0084 full_v1=0.0023 full_v2=0.0045 single_by_cam[cam0=0.0062 cam1=0.0072 cam2=0.0068] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2800/50000] total=0.0188 ema=0.0194 full=0.0062 single=0.0084 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0088 full_v1=0.0045 full_v2=0.0053 single_by_cam[cam0=0.0080 cam1=0.0087 cam2=0.0086] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2900/50000] total=0.0154 ema=0.0183 full=0.0051 single=0.0068 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0085 full_v1=0.0023 full_v2=0.0045 single_by_cam[cam0=0.0063 cam1=0.0073 cam2=0.0069] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3000/50000] total=0.0175 ema=0.0178 full=0.0059 single=0.0078 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0092 full_v1=0.0028 full_v2=0.0056 single_by_cam[cam0=0.0072 cam1=0.0083 cam2=0.0078] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3100/50000] total=0.0232 ema=0.0172 full=0.0077 single=0.0103 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0121 full_v1=0.0036 full_v2=0.0072 single_by_cam[cam0=0.0096 cam1=0.0109 cam2=0.0105] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3200/50000] total=0.0146 ema=0.0167 full=0.0049 single=0.0065 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0082 full_v1=0.0019 full_v2=0.0046 single_by_cam[cam0=0.0059 cam1=0.0070 cam2=0.0066] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3300/50000] total=0.0153 ema=0.0172 full=0.0051 single=0.0068 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0077 full_v1=0.0024 full_v2=0.0053 single_by_cam[cam0=0.0064 cam1=0.0072 cam2=0.0067] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3400/50000] total=0.0230 ema=0.0166 full=0.0077 single=0.0102 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0141 full_v1=0.0027 full_v2=0.0062 single_by_cam[cam0=0.0091 cam1=0.0110 cam2=0.0105] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3500/50000] total=0.0194 ema=0.0169 full=0.0064 single=0.0086 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0075 full_v1=0.0035 full_v2=0.0081 single_by_cam[cam0=0.0084 cam1=0.0092 cam2=0.0083] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3600/50000] total=0.0165 ema=0.0166 full=0.0055 single=0.0073 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0067 full_v1=0.0028 full_v2=0.0072 single_by_cam[cam0=0.0071 cam1=0.0077 cam2=0.0072] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3700/50000] total=0.0175 ema=0.0170 full=0.0058 single=0.0078 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0095 full_v1=0.0028 full_v2=0.0051 single_by_cam[cam0=0.0072 cam1=0.0083 cam2=0.0079] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3800/50000] total=0.0128 ema=0.0167 full=0.0043 single=0.0057 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0060 full_v1=0.0020 full_v2=0.0048 single_by_cam[cam0=0.0054 cam1=0.0061 cam2=0.0056] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3900/50000] total=0.0207 ema=0.0169 full=0.0069 single=0.0092 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0124 full_v1=0.0032 full_v2=0.0051 single_by_cam[cam0=0.0083 cam1=0.0099 cam2=0.0095] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[4000/50000] total=0.0178 ema=0.0168 full=0.0059 single=0.0079 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0108 full_v1=0.0021 full_v2=0.0047 single_by_cam[cam0=0.0071 cam1=0.0086 cam2=0.0082] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[4100/50000] total=0.0123 ema=0.0164 full=0.0041 single=0.0055 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0061 full_v1=0.0018 full_v2=0.0044 single_by_cam[cam0=0.0052 cam1=0.0058 cam2=0.0054] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
