
=== joint_single_recon_up ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --single_recon_weight 1.5 --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_single_recon_w1p5_20260404_002915/vtmae_joint_single_recon_w1p5_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_single_recon_w1p5_20260404_002915/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=cosine single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.5 distill=1.0
[100/50000] total=0.0899 ema=0.8731 full=0.0297 single=0.0397 distill=0.0006 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0204 full_v1=0.0383 full_v2=0.0306 single_by_cam[cam0=0.0413 cam1=0.0383 cam2=0.0396] distill_by_cam[cam0=0.0007 cam1=0.0006 cam2=0.0006]
[200/50000] total=0.0518 ema=0.3595 full=0.0168 single=0.0227 distill=0.0009 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0123 full_v1=0.0188 full_v2=0.0193 single_by_cam[cam0=0.0236 cam1=0.0224 cam2=0.0222] distill_by_cam[cam0=0.0010 cam1=0.0009 cam2=0.0008]
[300/50000] total=0.0507 ema=0.1623 full=0.0168 single=0.0225 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0157 full_v1=0.0179 full_v2=0.0167 single_by_cam[cam0=0.0224 cam1=0.0222 cam2=0.0228] distill_by_cam[cam0=0.0003 cam1=0.0003 cam2=0.0003]
[400/50000] total=0.0464 ema=0.0878 full=0.0154 single=0.0206 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0142 full_v1=0.0160 full_v2=0.0159 single_by_cam[cam0=0.0209 cam1=0.0203 cam2=0.0207] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[500/50000] total=0.0390 ema=0.0583 full=0.0130 single=0.0173 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0114 full_v1=0.0134 full_v2=0.0140 single_by_cam[cam0=0.0175 cam1=0.0174 cam2=0.0171] distill_by_cam[cam0=0.0001 cam1=0.0000 cam2=0.0000]
[600/50000] total=0.0409 ema=0.0452 full=0.0136 single=0.0182 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0111 full_v1=0.0119 full_v2=0.0177 single_by_cam[cam0=0.0188 cam1=0.0186 cam2=0.0173] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[700/50000] total=0.0317 ema=0.0387 full=0.0106 single=0.0141 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0101 full_v1=0.0102 full_v2=0.0115 single_by_cam[cam0=0.0141 cam1=0.0141 cam2=0.0139] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[800/50000] total=0.0271 ema=0.0341 full=0.0090 single=0.0120 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0079 full_v1=0.0089 full_v2=0.0103 single_by_cam[cam0=0.0121 cam1=0.0121 cam2=0.0118] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[900/50000] total=0.0311 ema=0.0314 full=0.0103 single=0.0138 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0122 full_v1=0.0081 full_v2=0.0107 single_by_cam[cam0=0.0136 cam1=0.0142 cam2=0.0137] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[1000/50000] total=0.0237 ema=0.0286 full=0.0079 single=0.0105 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0091 full_v1=0.0060 full_v2=0.0086 single_by_cam[cam0=0.0103 cam1=0.0109 cam2=0.0103] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1100/50000] total=0.0253 ema=0.0265 full=0.0084 single=0.0112 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0128 full_v1=0.0052 full_v2=0.0072 single_by_cam[cam0=0.0105 cam1=0.0118 cam2=0.0114] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[1200/50000] total=0.0226 ema=0.0244 full=0.0076 single=0.0100 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0085 full_v1=0.0054 full_v2=0.0088 single_by_cam[cam0=0.0099 cam1=0.0104 cam2=0.0099] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1300/50000] total=0.0230 ema=0.0229 full=0.0077 single=0.0102 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0118 full_v1=0.0041 full_v2=0.0071 single_by_cam[cam0=0.0093 cam1=0.0110 cam2=0.0103] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1400/50000] total=0.0208 ema=0.0223 full=0.0070 single=0.0092 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0067 full_v1=0.0049 full_v2=0.0093 single_by_cam[cam0=0.0092 cam1=0.0095 cam2=0.0089] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1500/50000] total=0.0174 ema=0.0207 full=0.0058 single=0.0077 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0061 full_v1=0.0042 full_v2=0.0071 single_by_cam[cam0=0.0078 cam1=0.0080 cam2=0.0074] distill_by_cam[cam0=0.0001 cam1=0.0000 cam2=0.0000]
[1600/50000] total=0.0155 ema=0.0202 full=0.0051 single=0.0069 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0059 full_v1=0.0035 full_v2=0.0060 single_by_cam[cam0=0.0068 cam1=0.0072 cam2=0.0067] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1700/50000] total=0.0177 ema=0.0202 full=0.0059 single=0.0078 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0081 full_v1=0.0033 full_v2=0.0064 single_by_cam[cam0=0.0075 cam1=0.0083 cam2=0.0078] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1800/50000] total=0.0191 ema=0.0200 full=0.0063 single=0.0085 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0094 full_v1=0.0030 full_v2=0.0066 single_by_cam[cam0=0.0079 cam1=0.0091 cam2=0.0085] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1900/50000] total=0.0173 ema=0.0196 full=0.0056 single=0.0078 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0076 full_v1=0.0032 full_v2=0.0061 single_by_cam[cam0=0.0073 cam1=0.0084 cam2=0.0078] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2000/50000] total=0.0138 ema=0.0182 full=0.0045 single=0.0062 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0064 full_v1=0.0024 full_v2=0.0048 single_by_cam[cam0=0.0058 cam1=0.0066 cam2=0.0062] distill_by_cam[cam0=0.0001 cam1=0.0000 cam2=0.0000]
[2100/50000] total=0.0171 ema=0.0181 full=0.0057 single=0.0076 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0065 full_v1=0.0034 full_v2=0.0072 single_by_cam[cam0=0.0073 cam1=0.0080 cam2=0.0074] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2200/50000] total=0.0184 ema=0.0177 full=0.0059 single=0.0083 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0084 full_v1=0.0034 full_v2=0.0059 single_by_cam[cam0=0.0073 cam1=0.0090 cam2=0.0086] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2300/50000] total=0.0188 ema=0.0175 full=0.0055 single=0.0088 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0085 full_v1=0.0024 full_v2=0.0054 single_by_cam[cam0=0.0068 cam1=0.0101 cam2=0.0096] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[2400/50000] total=0.0170 ema=0.0168 full=0.0056 single=0.0076 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0078 full_v1=0.0034 full_v2=0.0057 single_by_cam[cam0=0.0071 cam1=0.0080 cam2=0.0077] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
